ID	Side	Element	Fem_01	Fem_02	Fem_03	Fem_04	Fem_05	Fem_06	Fem_07
Femur_L1	Left	Femur	489	483	92	49	30	28	30
Femur_L2	Left	Femur	466	463	89	51	34	30	33
Femur_L3	Left	Femur	445	441	82	49	33	30	31
Femur_L4	Left	Femur	427	425	76	41	29	26	31
Femur_L5	Left	Femur	455	452	81	46	33	33	30
Femur_L6	Left	Femur	450	449	82	43	33	31	29
Femur_L7	Left	Femur	469	466	89	49	31	30	33
Femur_L8	Left	Femur	489	484	82	49	35	28	30
Femur_L9	Left	Femur	423	419	83	46	25	30	27
Femur_L10	Left	Femur	425	420	81	46	35	30	35
Femur_L11	Left	Femur	474	471	87	50	33	29	30
Femur_L12	Left	Femur	477	472	89	51	33	30	32
Femur_L13	Left	Femur	458	457	78	46	32	28	28
Femur_L14	Left	Femur	415	412	72	41	30	22	25
Femur_L15	Left	Femur	444	441	79	47	35	29	31
Femur_L16	Left	Femur	432	426	83	48	29	28	27
Femur_L17	Left	Femur	425	421	73	39	26	29	28
Femur_L18	Left	Femur	412	410	70	40	25	23	24
Femur_L19	Left	Femur	436	431	78	43	33	25	30
Femur_L20	Left	Femur	464	461	77	45	25	27	30
Femur_L21	Left	Femur	495	491	86	45	31	29	29
Femur_L22	Left	Femur	428	425	72	40	29	25	29
Femur_L23	Left	Femur	477	476	90	51	36	35	29
Femur_L24	Left	Femur	508	504	87	47	30	26	29
Femur_L25	Left	Femur	456	450	71	41	28	26	27
Femur_L26	Left	Femur	437	434	68	39	29	22	25
Femur_L27	Left	Femur	463	460	85	48	28	27	29
Femur_L28	Left	Femur	505	499	89	49	38	30	34
Femur_L29	Left	Femur	466	463	83	47	24	27	29
Femur_L30	Left	Femur	441	440	77	44	28	23	25
Femur_L31	Left	Femur	432	429	75	42	29	25	30
Femur_L32	Left	Femur	450	444	81	48	33	28	30
Femur_L33	Left	Femur	411	406	68	37	26	22	26
Femur_L34	Left	Femur	477	473	88	49	32	31	33
Femur_L35	Left	Femur	413	410	75	41	30	23	29
Femur_L36	Left	Femur	477	475	88	51	31	29	30
Femur_L37	Left	Femur	442	438	81	49	30	29	28
Femur_L38	Left	Femur	412	410	69	42	25	24	24
Femur_L39	Left	Femur	475	471	70	42	28	22	27
Femur_L40	Left	Femur	478	473	83	46	32	28	23
Femur_L41	Left	Femur	500	494	88	50	32	29	31
Femur_L42	Left	Femur	471	465	75	42	28	28	29
Femur_L43	Left	Femur	481	475	79	46	30	29	32
Femur_L44	Left	Femur	455	452	89	50	30	31	30
Femur_L45	Left	Femur	453	451	75	43	32	23	27
Femur_L46	Left	Femur	520	516	85	48	32	32	31
Femur_L47	Left	Femur	482	479	90	50	31	28	32
Femur_L48	Left	Femur	495	492	88	50	31	29	32
Femur_L49	Left	Femur	471	467	80	43	27	28	32
Femur_L50	Left	Femur	478	476	82	49	32	32	30
Femur_L51	Left	Femur	469	468	87	48	33	31	32
Femur_L52	Left	Femur	448	447	82	47	32	34	31
Femur_L53	Left	Femur	445	444	79	47.8	31.1	30.7	28.3
Femur_L54	Left	Femur	440	438	76	44.14	26.5	24.28	29.47
Femur_L55	Left	Femur	375	373	74	40.52	26.06	21.32	24.04
Femur_L56	Left	Femur	402	396	76	42.13	22.26	23.26	28.47
Femur_L57	Left	Femur	409	404	73	41.47	23.43	21.27	22.63
Femur_L58	Left	Femur	394	392	69	37.64	23.42	21.99	23.27
Femur_L59	Left	Femur	470	468	85	50.5	33.7	28.5	30.2
Femur_L60	Left	Femur	433	429	75	42.41	31.3	25.5	24.8
Femur_L61	Left	Femur	399	396	76	42.3	28.5	23.1	26.1
Femur_L62	Left	Femur	374	369	67	37.4	24.3	21.8	21.9
Femur_L63	Left	Femur	450	447	90	47.8	33	28.5	30.3
Femur_L64	Left	Femur	450	447	81	47.1	28.7	23.2	27.8
Femur_L65	Left	Femur	442	440	84	50	32.5	29.6	29.9
Femur_L66	Left	Femur	439	435	74	44.9	30.3	25.9	28.5
Femur_L67	Left	Femur	406	403	74	41.9	26.6	25.8	24.7
Femur_L68	Left	Femur	409	405	68	43.6	28.9	21.9	22.7
Femur_L69	Left	Femur	461	458	81	48.6	28.1	25.2	28.7
Femur_L70	Left	Femur	518	517	89	51	37.5	34.1	33.9
Femur_L71	Left	Femur	475	469	76	45	29	23	27
Femur_L72	Left	Femur	492	491	87	50	31	29	30
Femur_L73	Left	Femur	448	441	84	48	32	27	28
Femur_L74	Left	Femur	467.5	460.5	86.5	47.3	30.2	28.9	27.3
Femur_L75	Left	Femur	457	451	83.5	53	29.1	28	28.1
Femur_L76	Left	Femur	411	408	84	47.6	30.3	30.6	30.8
Femur_L77	Left	Femur	413	409	80	47.4	31.8	28.1	30.2
Femur_L78	Left	Femur	436	435	81.5	46.6	29.4	27	26.6
Femur_L79	Left	Femur	460.5	456	90.5	50.6	31.1	34.7	30.9
Femur_L80	Left	Femur	427	423	71.5	41.3	29.9	25.1	26.4
Femur_L81	Left	Femur	426.5	421	73	41.5	28.1	27.2	27
Femur_L82	Left	Femur	442	441	83.5	47	33.4	27.3	28.8
Femur_L83	Left	Femur	445.5	444	79	43.8	29.9	24.9	28.2
Femur_L84	Left	Femur	450	446.5	85	47.9	33.6	25.9	27.8
Femur_L85	Left	Femur	410	406	76	45.8	31.1	24.3	24.2
Femur_L86	Left	Femur	500	496	86	47	33	27	31
Femur_L87	Left	Femur	471	469	86	48	34	29	31
Femur_L88	Left	Femur	500	495	90	51	35	29	31
Femur_L89	Left	Femur	427	425	79.5	45	27	27	30
Femur_L90	Left	Femur	466	463	84	51	35	26	29
Femur_L91	Left	Femur	466	461	83	45	31	28	29
Femur_L92	Left	Femur	516	512	79	47.5	28.7	24.8	27.9
