ID	Side	Element	Fem_01	Fem_02	Fem_03	Fem_04	Fem_05	Fem_06	Fem_07
UT1-87	Left	Femur	489	483	92	49	30	28	30
UT10-88	Left	Femur	466	463	89	51	34	30	33
UT11-93	Left	Femur	445	441	82	49	33	30	31
UT11-95	Left	Femur	427	425	76	41	29	26	31
UT12-94	Left	Femur	455	452	81	46	33	33	30
UT17-92	Left	Femur	450	449	82	43	33	31	29
UT2-81	Left	Femur	469	466	89	49	31	30	33
UT2-93	Left	Femur	489	484	82	49	35	28	30
UT20-94	Left	Femur	423	419	83	46	25	30	27
UT4-91	Left	Femur	425	420	81	46	35	30	35
UT5-95	Left	Femur	474	471	87	50	33	29	30
UT6-86	Left	Femur	477	472	89	51	33	30	32
UT6-97	Left	Femur	458	457	78	46	32	28	28
UT71-1	Left	Femur	415	412	72	41	30	22	25
UT71-3B	Left	Femur	444	441	79	47	35	29	31
UT78-14	Left	Femur	432	426	83	48	29	28	27
UT80-12	Left	Femur	425	421	73	39	26	29	28
UT83-1	Left	Femur	412	410	70	40	25	23	24
UT83-24	Left	Femur	436	431	78	43	33	25	30
UT83-29	Left	Femur	464	461	77	45	25	27	30
UT84-3	Left	Femur	495	491	86	45	31	29	29
UT85-2	Left	Femur	428	425	72	40	29	25	29
UT85-26	Left	Femur	477	476	90	51	36	35	29
UT85-35	Left	Femur	508	504	87	47	30	26	29
UT85-8	Left	Femur	456	450	71	41	28	26	27
UT86-15	Left	Femur	437	434	68	39	29	22	25
UT86-18	Left	Femur	463	460	85	48	28	27	29
UT86-30	Left	Femur	505	499	89	49	38	30	34
UT87-20	Left	Femur	466	463	83	47	24	27	29
UT87-8	Left	Femur	441	440	77	44	28	23	25
UT88-22	Left	Femur	432	429	75	42	29	25	30
UT88-4	Left	Femur	450	444	81	48	33	28	30
UT89-1	Left	Femur	411	406	68	37	26	22	26
UT89-10	Left	Femur	477	473	88	49	32	31	33
UT89-13/FA-89-67	Left	Femur	413	410	75	41	30	23	29
UT89-18	Left	Femur	477	475	88	51	31	29	30
UT89-23	Left	Femur	442	438	81	49	30	29	28
UT89-24	Left	Femur	412	410	69	42	25	24	24
UT9-87	Left	Femur	475	471	70	42	28	22	27
UT90-29	Left	Femur	478	473	83	46	32	28	23
UT90-40	Left	Femur	500	494	88	50	32	29	31
UT90-4;FA89-172	Left	Femur	471	465	75	42	28	28	29
UT90-8	Left	Femur	481	475	79	46	30	29	32
UT91-30	Left	Femur	455	452	89	50	30	31	30
UT91-34	Left	Femur	453	451	75	43	32	23	27
UT91-42	Left	Femur	520	516	85	48	32	32	31
UT92-15	Left	Femur	482	479	90	50	31	28	32
UT93-42	Left	Femur	495	492	88	50	31	29	32
UT96-33	Left	Femur	471	467	80	43	27	28	32
UT97-185	Left	Femur	478	476	82	49	32	32	30
UT97-20	Left	Femur	469	468	87	48	33	31	32
UT98-13	Left	Femur	448	447	82	47	32	34	31
2002-150-I-02	Left	Femur	445	444	79	47.8	31.1	30.7	28.3
27-7-20/61062.0	Left	Femur	440	438	76	44.14	26.5	24.28	29.47
27-7-20/61079.0	Left	Femur	375	373	74	40.52	26.06	21.32	24.04
93-3-20/48009.0	Left	Femur	402	396	76	42.13	22.26	23.26	28.47
27-7-20/61022.0	Left	Femur	409	404	73	41.47	23.43	21.27	22.63
27-7-20/61002.0	Left	Femur	394	392	69	37.64	23.42	21.99	23.27
2002-150-I-01	Left	Femur	470	468	85	50.5	33.7	28.5	30.2
2003-196-I-03	Left	Femur	433	429	75	42.41	31.3	25.5	24.8
385723	Left	Femur	399	396	76	42.3	28.5	23.1	26.1
325270	Left	Femur	374	369	67	37.4	24.3	21.8	21.9
325266	Left	Femur	450	447	90	47.8	33	28.5	30.3
325268	Left	Femur	450	447	81	47.1	28.7	23.2	27.8
325269	Left	Femur	442	440	84	50	32.5	29.6	29.9
363722	Left	Femur	439	435	74	44.9	30.3	25.9	28.5
363723	Left	Femur	406	403	74	41.9	26.6	25.8	24.7
364426	Left	Femur	409	405	68	43.6	28.9	21.9	22.7
364428	Left	Femur	461	458	81	48.6	28.1	25.2	28.7
2011-078-I-01	Left	Femur	518	517	89	51	37.5	34.1	33.9
2011-026-I-01	Left	Femur	475	469	76	45	29	23	27
2011-027-I-01	Left	Femur	492	491	87	50	31	29	30
2011-028-I-01	Left	Femur	448	441	84	48	32	27	28
DS 001	Left	Femur	467.5	460.5	86.5	47.3	30.2	28.9	27.3
DS 034	Left	Femur	457	451	83.5	53	29.1	28	28.1
DS 035	Left	Femur	411	408	84	47.6	30.3	30.6	30.8
DS 009	Left	Femur	413	409	80	47.4	31.8	28.1	30.2
DS 033	Left	Femur	436	435	81.5	46.6	29.4	27	26.6
DS 006	Left	Femur	460.5	456	90.5	50.6	31.1	34.7	30.9
DS 011	Left	Femur	427	423	71.5	41.3	29.9	25.1	26.4
DS 007	Left	Femur	426.5	421	73	41.5	28.1	27.2	27
DS 002	Left	Femur	442	441	83.5	47	33.4	27.3	28.8
DS 004	Left	Femur	445.5	444	79	43.8	29.9	24.9	28.2
DS 005	Left	Femur	450	446.5	85	47.9	33.6	25.9	27.8
DS 008	Left	Femur	410	406	76	45.8	31.1	24.3	24.2
2013-115-I-01	Left	Femur	500	496	86	47	33	27	31
2013-120-I-01	Left	Femur	471	469	86	48	34	29	31
2013-122-I-01	Left	Femur	500	495	90	51	35	29	31
2013-148-I-01	Left	Femur	427	425	79.5	45	27	27	30
2013-175-I-01	Left	Femur	466	463	84	51	35	26	29
2013-206-I-01	Left	Femur	466	461	83	45	31	28	29
2013-213-I-01	Left	Femur	516	512	79	47.5	28.7	24.8	27.9
