ID	Side	Element	Fem_01R	Fem_02R	Fem_03R	Fem_04R	Fem_05R	Fem_06R	Fem_07R
Femur_R1	Right	Femur	487	480	91	49	30	28	31
Femur_R2	Right	Femur	466	462	88	50	36	30	33
Femur_R3	Right	Femur	450	447	83	48	33	30	31
Femur_R4	Right	Femur	431	426	76	42	30	26	30
Femur_R5	Right	Femur	451	448	81	47	35	30	30
Femur_R6	Right	Femur	459	457	83	44	35	25	30
Femur_R7	Right	Femur	470	467	89	50	31	30	33
Femur_R8	Right	Femur	486	481	81	49	35	27	30
Femur_R9	Right	Femur	423	419	82	45	24	30	27
Femur_R10	Right	Femur	420	416	80	47	35	30	35
Femur_R11	Right	Femur	470	468	88	51	34	28	29
Femur_R12	Right	Femur	476	472	89	52	30	30	31
Femur_R13	Right	Femur	465	463	79	46	30	25	26
Femur_R14	Right	Femur	412	410	73	40	30	23	25
Femur_R15	Right	Femur	440	437	78	47	32	30	32
Femur_R16	Right	Femur	428	425	83	50	31	26	26
Femur_R17	Right	Femur	424	420	72	39	28	27	29
Femur_R18	Right	Femur	408	406	70	41	26	22	25
Femur_R19	Right	Femur	430	424	78	43	34	24	29
Femur_R20	Right	Femur	465	462	77	46	26	27	30
Femur_R21	Right	Femur	494	492	86	47	33	29	29
Femur_R22	Right	Femur	428	424	72	41	28	26	30
Femur_R23	Right	Femur	486	481	91	50	31	34	31
Femur_R24	Right	Femur	507	504	86	47	31	26	29
Femur_R25	Right	Femur	454	448	74	43	31	26	27
Femur_R26	Right	Femur	432	431	68	40	28	22	25
Femur_R27	Right	Femur	464	461	86	48	28	27	28
Femur_R28	Right	Femur	499	492	89	49	37	29	35
Femur_R29	Right	Femur	467	464	83	47	22	28	29
Femur_R30	Right	Femur	443	439	77	43	28	22	23
Femur_R31	Right	Femur	431	429	75	42	29	23	28
Femur_R32	Right	Femur	451	447	82	47	31	27	30
Femur_R33	Right	Femur	417	412	69	37	27	23	27
Femur_R34	Right	Femur	475	471	89	48	34	31	32
Femur_R35	Right	Femur	419	412	76	41	30	23	24
Femur_R36	Right	Femur	476	474	88	51	31	28	31
Femur_R37	Right	Femur	440	436	81	50	30	30	29
Femur_R38	Right	Femur	411	406	71	42	25	24	23
