ID	Side	Element	Fem_01R	Fem_02R	Fem_03R	Fem_04R	Fem_05R	Fem_06R	Fem_07R
UT1-87	Right	Femur	487	480	91	49	30	28	31
UT10-88	Right	Femur	466	462	88	50	36	30	33
UT11-93	Right	Femur	450	447	83	48	33	30	31
UT11-95	Right	Femur	431	426	76	42	30	26	30
UT12-94	Right	Femur	451	448	81	47	35	30	30
UT17-92	Right	Femur	459	457	83	44	35	25	30
UT2-81	Right	Femur	470	467	89	50	31	30	33
UT2-93	Right	Femur	486	481	81	49	35	27	30
UT20-94	Right	Femur	423	419	82	45	24	30	27
UT4-91	Right	Femur	420	416	80	47	35	30	35
UT5-95	Right	Femur	470	468	88	51	34	28	29
UT6-86	Right	Femur	476	472	89	52	30	30	31
UT6-97	Right	Femur	465	463	79	46	30	25	26
UT71-1	Right	Femur	412	410	73	40	30	23	25
UT71-3B	Right	Femur	440	437	78	47	32	30	32
UT78-14	Right	Femur	428	425	83	50	31	26	26
UT80-12	Right	Femur	424	420	72	39	28	27	29
UT83-1	Right	Femur	408	406	70	41	26	22	25
UT83-24	Right	Femur	430	424	78	43	34	24	29
UT83-29	Right	Femur	465	462	77	46	26	27	30
UT84-3	Right	Femur	494	492	86	47	33	29	29
UT85-2	Right	Femur	428	424	72	41	28	26	30
UT85-26	Right	Femur	486	481	91	50	31	34	31
UT85-35	Right	Femur	507	504	86	47	31	26	29
UT85-8	Right	Femur	454	448	74	43	31	26	27
UT86-15	Right	Femur	432	431	68	40	28	22	25
UT86-18	Right	Femur	464	461	86	48	28	27	28
UT86-30	Right	Femur	499	492	89	49	37	29	35
UT87-20	Right	Femur	467	464	83	47	22	28	29
UT87-8	Right	Femur	443	439	77	43	28	22	23
UT88-22	Right	Femur	431	429	75	42	29	23	28
UT88-4	Right	Femur	451	447	82	47	31	27	30
UT89-1	Right	Femur	417	412	69	37	27	23	27
UT89-10	Right	Femur	475	471	89	48	34	31	32
UT89-13/FA-89-67	Right	Femur	419	412	76	41	30	23	24
UT89-18	Right	Femur	476	474	88	51	31	28	31
UT89-23	Right	Femur	440	436	81	50	30	30	29
UT89-24	Right	Femur	411	406	71	42	25	24	23
UT9-87	Right	Femur	479	473	71	43	29	21	27
UT90-29	Right	Femur	478	474	82	47	30	29	22
UT90-40	Right	Femur	498	491	87	51	32	29	31
UT90-4;FA89-172	Right	Femur	474	469	75	42	29	27	30
UT90-8	Right	Femur	489	485	79	47	30	28	32
UT91-30	Right	Femur	462	457	88	50	29	32	30
UT91-34	Right	Femur	460	457	77	43	30	24	29
UT91-42	Right	Femur	523	520	85	47	30	32	31
UT92-15	Right	Femur	484	478	92	51	31	29	32
UT93-42	Right	Femur	493	490	88	50	31	28	32
UT96-33	Right	Femur	468	467	82	45	27	25	32
UT97-185	Right	Femur	477	475	83	50	30	29	31
UT97-20	Right	Femur	466	464	88	48	32	31	31
UT98-13	Right	Femur	446	444	82	47	32	34	31
2002-150-I-02	Right	Femur	441	437	79	47.6	30.4	30.5	29.5
27-7-20/61062.0	Right	Femur	441	438	76	44.29	26.56	23.72	28.15
27-7-20/61079.0	Right	Femur	375	374	74	41.11	26.36	21.45	24.05
93-3-20/48009.0	Right	Femur	399	395	76	41.89	23.13	23.38	26.86
27-7-20/61022.0	Right	Femur	410	405	74	41.96	23.62	20.94	24.13
27-7-20/61002.0	Right	Femur	394	391	69	38.42	23.68	20.66	22.92
2002-150-I-01	Right	Femur	468	464	83	51.2	32.1	30.6	30.4
2003-196-I-03	Right	Femur	434	429	76	43.1	31.4	25.5	24.1
385723	Right	Femur	397	393	76	41.5	27.9	23.7	26.3
325270	Right	Femur	370	365	68	38.1	24.7	22.1	22.3
325266	Right	Femur	451	449	91	49.6	33.5	29.4	31.3
325268	Right	Femur	450	446	81	46.6	29.5	23.3	28.1
325269	Right	Femur	443	442	85	50.6	32.2	27.9	30.2
363722	Right	Femur	438	435	74	45.1	29.3	25.7	28.9
363723	Right	Femur	410	407	73	41.5	26.8	25	25.3
364426	Right	Femur	410	404	71	43.6	28.5	21.4	22.8
364428	Right	Femur	462	458	81	48.5	27.6	25.4	27.8
2011-078-I-01	Right	Femur	514	508	91	51.4	36.1	34.4	34.3
2011-026-I-01	Right	Femur	482	478	78	46	29	23	27
2011-027-I-01	Right	Femur	487	485	89	50	32	29	31
2011-028-I-01	Right	Femur	444	437	85	48	31	27	29
DS 001	Right	Femur	464	458	86	47.4	30.4	28.4	27.8
DS 034	Right	Femur	458.5	455.5	83.5	52.8	30.2	28	28.2
DS 035	Right	Femur	410	407	84.5	47.6	30.6	29.4	30.2
DS 009	Right	Femur	416	413	83.5	48.3	30	28.8	30.8
DS 033	Right	Femur	441.5	439.5	82	47.4	30.9	26.6	26.9
DS 006	Right	Femur	459.5	455	91	50.1	33.4	34.2	33.5
DS 011	Right	Femur	431	427.5	71.5	42.5	29.4	27.2	24.5
DS 007	Right	Femur	425	423	72	42.3	28.4	27.7	27.5
DS 002	Right	Femur	431	430	83	47.2	33.5	29.2	28.5
DS 004	Right	Femur	441	438	79	43.7	32.7	25.2	28.2
DS 005	Right	Femur	444.5	440	87	48.3	34	26.7	27.9
DS 008	Right	Femur	408	404.5	76.5	45.4	29.3	25.2	24.4
2013-115-I-01	Right	Femur	502	499	85	48	32	27	32
2013-120-I-01	Right	Femur	468	467	86	49	34	30	29
2013-122-I-01	Right	Femur	499	494	91	51	34	30	31
2013-148-I-01	Right	Femur	428	427	79	45	28	29	30
2013-175-I-01	Right	Femur	465	462	85	51	35	27	29
2013-206-I-01	Right	Femur	465	462	82	46	32	27	29
2013-213-I-01	Right	Femur	506	502	80	48.5	29.7	25.4	29.3
