ID	Side	Element	Fib_01	Fib_02
Fibula_L1	Left	Fibula	397	17
Fibula_L2	Left	Fibula	385	20
Fibula_L3	Left	Fibula	384	13
Fibula_L4	Left	Fibula	420	17
Fibula_L5	Left	Fibula	369	16
Fibula_L6	Left	Fibula	392	16
Fibula_L7	Left	Fibula	381	14
Fibula_L8	Left	Fibula	382	17
Fibula_L9	Left	Fibula	335	14
Fibula_L10	Left	Fibula	386	15
Fibula_L11	Left	Fibula	375	17
Fibula_L12	Left	Fibula	369	14
Fibula_L13	Left	Fibula	337	15
Fibula_L14	Left	Fibula	329	12
Fibula_L15	Left	Fibula	338	15
Fibula_L16	Left	Fibula	415	17
Fibula_L17	Left	Fibula	364	16
Fibula_L18	Left	Fibula	332	13
Fibula_L19	Left	Fibula	391	12
Fibula_L20	Left	Fibula	378	14
Fibula_L21	Left	Fibula	361	13
Fibula_L22	Left	Fibula	336	16
Fibula_L23	Left	Fibula	332	12
Fibula_L24	Left	Fibula	385	16
Fibula_L25	Left	Fibula	333	12
Fibula_L26	Left	Fibula	397	15
Fibula_L27	Left	Fibula	382	15
Fibula_L28	Left	Fibula	327	13
Fibula_L29	Left	Fibula	228	11
Fibula_L30	Left	Fibula	380	15
Fibula_L31	Left	Fibula	362	15
Fibula_L32	Left	Fibula	386	18
Fibula_L33	Left	Fibula	428	15
Fibula_L34	Left	Fibula	376	14
Fibula_L35	Left	Fibula	382	17
Fibula_L36	Left	Fibula	397	16
Fibula_L37	Left	Fibula	226	8
Fibula_L38	Left	Fibula	387	14
Fibula_L39	Left	Fibula	372	16
Fibula_L40	Left	Fibula	354	17.9
Fibula_L41	Left	Fibula	376	15.1
Fibula_L42	Left	Fibula	386	17.3
Fibula_L43	Left	Fibula	372	15.1
Fibula_L44	Left	Fibula	371	13.9
Fibula_L45	Left	Fibula	393	14.9
Fibula_L46	Left	Fibula	384	16.8
Fibula_L47	Left	Fibula	404	15.6
Fibula_L48	Left	Fibula	391	17.4
Fibula_L49	Left	Fibula	417	16.2
Fibula_L50	Left	Fibula	385	15.7
Fibula_L51	Left	Fibula	402	16.9
Fibula_L52	Left	Fibula	405	18.1
Fibula_L53	Left	Fibula	409	14.7
Fibula_L54	Left	Fibula	380	16.8
Fibula_L55	Left	Fibula	389.5	14.6
Fibula_L56	Left	Fibula	394	14.8
Fibula_L57	Left	Fibula	388	15.2
Fibula_L58	Left	Fibula	398	16.2
Fibula_L59	Left	Fibula	395	16
Fibula_L60	Left	Fibula	373	15.3
Fibula_L61	Left	Fibula	352	14.11
Fibula_L62	Left	Fibula	307	14.57
Fibula_L63	Left	Fibula	331	13.78
Fibula_L64	Left	Fibula	346	13.5
Fibula_L65	Left	Fibula	335	13.4
Fibula_L66	Left	Fibula	321	17.8
Fibula_L67	Left	Fibula	295	11.2
Fibula_L68	Left	Fibula	365	16.6
Fibula_L69	Left	Fibula	368	14.6
Fibula_L70	Left	Fibula	335	13.2
Fibula_L71	Left	Fibula	357	13.6
Fibula_L72	Left	Fibula	324	13
Fibula_L73	Left	Fibula	363	14.6
Fibula_L74	Left	Fibula	372	14.6
Fibula_L75	Left	Fibula	421	15.5
Fibula_L76	Left	Fibula	395	16
Fibula_L77	Left	Fibula	399	15
Fibula_L78	Left	Fibula	381.5	15.6
Fibula_L79	Left	Fibula	360	15.7
Fibula_L80	Left	Fibula	330	19.4
Fibula_L81	Left	Fibula	338	15
Fibula_L82	Left	Fibula	348	15.2
Fibula_L83	Left	Fibula	382	19.4
Fibula_L84	Left	Fibula	308	10.3
Fibula_L85	Left	Fibula	346	12.9
Fibula_L86	Left	Fibula	353	17.5
Fibula_L87	Left	Fibula	363	14.9
Fibula_L88	Left	Fibula	356.5	16.4
Fibula_L89	Left	Fibula	337	16.6
Fibula_L90	Left	Fibula	399	16
Fibula_L91	Left	Fibula	386	17.8
Fibula_L92	Left	Fibula	386	13.5
Fibula_L93	Left	Fibula	331	14
Fibula_L94	Left	Fibula	386	13.7
Fibula_L95	Left	Fibula	385	16
Fibula_L96	Left	Fibula	408	14.8
