ID	Side	Element	Fib_01R	Fib_02R
Fibula_R1	Right	Fibula	396	18
Fibula_R2	Right	Fibula	385	18
Fibula_R3	Right	Fibula	382	14
Fibula_R4	Right	Fibula	424	17
Fibula_R5	Right	Fibula	363	17
Fibula_R6	Right	Fibula	391	17
Fibula_R7	Right	Fibula	385	16
Fibula_R8	Right	Fibula	381	17
Fibula_R9	Right	Fibula	336	13
Fibula_R10	Right	Fibula	385	16
Fibula_R11	Right	Fibula	373	17
Fibula_R12	Right	Fibula	369	14
Fibula_R13	Right	Fibula	336	15
Fibula_R14	Right	Fibula	330	12
Fibula_R15	Right	Fibula	343	16
Fibula_R16	Right	Fibula	419	16
Fibula_R17	Right	Fibula	362	14
Fibula_R18	Right	Fibula	331	14
Fibula_R19	Right	Fibula	386	12
Fibula_R20	Right	Fibula	384	15
Fibula_R21	Right	Fibula	358	13
Fibula_R22	Right	Fibula	339	16
Fibula_R23	Right	Fibula	332	13
Fibula_R24	Right	Fibula	388	17
Fibula_R25	Right	Fibula	336	12
Fibula_R26	Right	Fibula	397	15
Fibula_R27	Right	Fibula	384	15
Fibula_R28	Right	Fibula	327	13
Fibula_R29	Right	Fibula	221	10
Fibula_R30	Right	Fibula	382	16
Fibula_R31	Right	Fibula	360	16
Fibula_R32	Right	Fibula	388	18
Fibula_R33	Right	Fibula	424	16
Fibula_R34	Right	Fibula	378	15
Fibula_R35	Right	Fibula	384	16
Fibula_R36	Right	Fibula	401	15
Fibula_R37	Right	Fibula	224	9
Fibula_R38	Right	Fibula	385	14
Fibula_R39	Right	Fibula	377	16
Fibula_R40	Right	Fibula	351	17.6
Fibula_R41	Right	Fibula	370	17.1
Fibula_R42	Right	Fibula	390	17.5
Fibula_R43	Right	Fibula	374	16.5
Fibula_R44	Right	Fibula	376	14.5
Fibula_R45	Right	Fibula	393	16.2
Fibula_R46	Right	Fibula	384	17.7
Fibula_R47	Right	Fibula	404	15.4
Fibula_R48	Right	Fibula	395	18.3
Fibula_R49	Right	Fibula	416	15.3
Fibula_R50	Right	Fibula	386	17.7
Fibula_R51	Right	Fibula	401	16.7
Fibula_R52	Right	Fibula	401	17.8
Fibula_R53	Right	Fibula	406	15
Fibula_R54	Right	Fibula	379	15.4
Fibula_R55	Right	Fibula	386	15.5
Fibula_R56	Right	Fibula	398	14.4
Fibula_R57	Right	Fibula	389	15.1
Fibula_R58	Right	Fibula	394	17
Fibula_R59	Right	Fibula	396	16.6
Fibula_R60	Right	Fibula	370	16.1
Fibula_R61	Right	Fibula	355	14.18
Fibula_R62	Right	Fibula	309	13.73
Fibula_R63	Right	Fibula	330	14.02
Fibula_R64	Right	Fibula	346	13
Fibula_R65	Right	Fibula	338	13.9
Fibula_R66	Right	Fibula	320	17.4
Fibula_R67	Right	Fibula	295	12.3
Fibula_R68	Right	Fibula	365	18.1
Fibula_R69	Right	Fibula	368	15.4
Fibula_R70	Right	Fibula	336	12.9
Fibula_R71	Right	Fibula	356	13.1
Fibula_R72	Right	Fibula	326	13.6
Fibula_R73	Right	Fibula	359	14.2
Fibula_R74	Right	Fibula	373	15.2
Fibula_R75	Right	Fibula	422	14.6
Fibula_R76	Right	Fibula	401	16
Fibula_R77	Right	Fibula	399	17
Fibula_R78	Right	Fibula	375	17
Fibula_R79	Right	Fibula	359	16.9
Fibula_R80	Right	Fibula	331	16.9
Fibula_R81	Right	Fibula	340.5	15
Fibula_R82	Right	Fibula	349	15.1
Fibula_R83	Right	Fibula	385	20.1
Fibula_R84	Right	Fibula	309	9.52
Fibula_R85	Right	Fibula	345.5	13.9
Fibula_R86	Right	Fibula	346	18
Fibula_R87	Right	Fibula	362.5	14.8
Fibula_R88	Right	Fibula	354	16.6
Fibula_R89	Right	Fibula	336	17.9
Fibula_R90	Right	Fibula	398	15
Fibula_R91	Right	Fibula	387	19.4
Fibula_R92	Right	Fibula	389	14.5
Fibula_R93	Right	Fibula	334	15
Fibula_R94	Right	Fibula	390	14.7
Fibula_R95	Right	Fibula	389	16
Fibula_R96	Right	Fibula	405	14.5
