ID	Side	Element	Hum_01	Hum_02	Hum_03	Hum_04	Hum_05
Humerus_L1	Left	Humerus	297.5	54.5	41	16.7	14.7
Humerus_L2	Left	Humerus	299	51	41.5	19.7	16.3
Humerus_L3	Left	Humerus	302	63	43.7	22.2	16.5
Humerus_L4	Left	Humerus	333	61	52	23	19
Humerus_L5	Left	Humerus	307	63	45	28	20
Humerus_L6	Left	Humerus	311	63	48	23	19
Humerus_L7	Left	Humerus	300	56	40	20	17
Humerus_L8	Left	Humerus	304	58	43	22	15
Humerus_L9	Left	Humerus	328	60	47	24	20
Humerus_L10	Left	Humerus	362	65	49	24	20
Humerus_L11	Left	Humerus	309	64	45	22	18
Humerus_L12	Left	Humerus	327	64	45	22	19
Humerus_L13	Left	Humerus	333	67	49	24	20
Humerus_L14	Left	Humerus	352	62	46	23	17
Humerus_L15	Left	Humerus	343	66	48	24	19
Humerus_L16	Left	Humerus	324	66	46	24	20
Humerus_L17	Left	Humerus	303	58	44	21	16
Humerus_L18	Left	Humerus	306	63	45	23	20
Humerus_L19	Left	Humerus	335	66	52	23	18
Humerus_L20	Left	Humerus	341	63	52	23	16
Humerus_L21	Left	Humerus	325	60	44	20	14
Humerus_L22	Left	Humerus	282	51	41	19	15
Humerus_L23	Left	Humerus	310	55	40	22	15
Humerus_L24	Left	Humerus	272	51	37	18	15
Humerus_L25	Left	Humerus	338	61	46	25	20
Humerus_L26	Left	Humerus	347	62	47	21	18
Humerus_L27	Left	Humerus	302	57	41	20	16
Humerus_L28	Left	Humerus	345	65	50	25	18
Humerus_L29	Left	Humerus	295	54	40	18	14
Humerus_L30	Left	Humerus	294	62	43	24	19
Humerus_L31	Left	Humerus	346	61	47	22	17
Humerus_L32	Left	Humerus	358	65	49	22	17
Humerus_L33	Left	Humerus	360	65	50	19	25
Humerus_L34	Left	Humerus	363	66	49	20	19
Humerus_L35	Left	Humerus	351	63	48	22	17
Humerus_L36	Left	Humerus	316	55	43	20	15
Humerus_L37	Left	Humerus	300	52	41	18	14
Humerus_L38	Left	Humerus	344	62	51	23	18
Humerus_L39	Left	Humerus	362	70	51	27	21
Humerus_L40	Left	Humerus	331	65	51	23	22
Humerus_L41	Left	Humerus	297	56	42	20	15
Humerus_L42	Left	Humerus	291	58	43	21	18
Humerus_L43	Left	Humerus	324	68	48	25	21
Humerus_L44	Left	Humerus	286	53	40	19	14
Humerus_L45	Left	Humerus	333	64	51	26	19
Humerus_L46	Left	Humerus	288	52	39	18	15
