ID	Side	Element	Hum_01	Hum_02	Hum_03	Hum_04	Hum_05
847	Left	Humerus	297.5	54.5	41	16.7	14.7
1153	Left	Humerus	299	51	41.5	19.7	16.3
1523	Left	Humerus	302	63	43.7	22.2	16.5
UT1-87	Left	Humerus	333	61	52	23	19
UT10-88	Left	Humerus	307	63	45	28	20
UT11-93	Left	Humerus	311	63	48	23	19
UT11-95	Left	Humerus	300	56	40	20	17
UT12-92	Left	Humerus	304	58	43	22	15
UT12-94	Left	Humerus	328	60	47	24	20
UT16-93	Left	Humerus	362	65	49	24	20
UT17-91	Left	Humerus	309	64	45	22	18
UT17-92	Left	Humerus	327	64	45	22	19
UT2-81	Left	Humerus	333	67	49	24	20
UT2-87	Left	Humerus	352	62	46	23	17
UT2-93	Left	Humerus	343	66	48	24	19
UT20-88	Left	Humerus	324	66	46	24	20
UT20-94	Left	Humerus	303	58	44	21	16
UT4-91	Left	Humerus	306	63	45	23	20
UT5-95	Left	Humerus	335	66	52	23	18
UT6-86	Left	Humerus	341	63	52	23	16
UT6-97	Left	Humerus	325	60	44	20	14
UT71-1	Left	Humerus	282	51	41	19	15
UT73-1	Left	Humerus	310	55	40	22	15
UT74-5	Left	Humerus	272	51	37	18	15
UT77-9	Left	Humerus	338	61	46	25	20
UT79-13	Left	Humerus	347	62	47	21	18
UT81-24	Left	Humerus	302	57	41	20	16
UT82-20	Left	Humerus	345	65	50	25	18
UT83-1	Left	Humerus	295	54	40	18	14
UT83-24	Left	Humerus	294	62	43	24	19
UT83-25	Left	Humerus	346	61	47	22	17
UT84-3	Left	Humerus	358	65	49	22	17
UT85-26	Left	Humerus	360	65	50	19	25
UT85-35	Left	Humerus	363	66	49	20	19
UT85-4	Left	Humerus	351	63	48	22	17
UT85-8	Left	Humerus	316	55	43	20	15
UT86-15	Left	Humerus	300	52	41	18	14
UT86-18	Left	Humerus	344	62	51	23	18
UT86-30	Left	Humerus	362	70	51	27	21
UT87-20	Left	Humerus	331	65	51	23	22
UT87-8	Left	Humerus	297	56	42	20	15
UT88-22	Left	Humerus	291	58	43	21	18
UT88-4	Left	Humerus	324	68	48	25	21
UT89-1	Left	Humerus	286	53	40	19	14
UT89-10	Left	Humerus	333	64	51	26	19
UT89-13/FA-89-67	Left	Humerus	288	52	39	18	15
UT89-23	Left	Humerus	332	67	50	23	17
UT89-24	Left	Humerus	294	50	42	19	14
UT9-87	Left	Humerus	323	55	37	21	15
UT90-28	Left	Humerus	354	67	48	27	21
UT90-44	Left	Humerus	354	70	48	26	20
UT90-4;FA89-172	Left	Humerus	330	55	41	21	14
UT90-8	Left	Humerus	332	67	45	21	18
UT91-10	Left	Humerus	358	67	50	24	19
UT91-17	Left	Humerus	303	55	40	19	14
UT91-30	Left	Humerus	340	67	50	23	21
UT91-34	Left	Humerus	340	57	45	25	17
UT91-36	Left	Humerus	343	67	47	22	19
UT91-42	Left	Humerus	370	59	47	23	20
UT92-15	Left	Humerus	340	68	52	24	18
UT93-42	Left	Humerus	342	73	52	19	25
UT94-10	Left	Humerus	359	70	50	23	20
UT95-10	Left	Humerus	299	57	41	19	14
UT95-25	Left	Humerus	345	67	50	23	19
UT95-8	Left	Humerus	341	55	41	19	17
UT96-35	Left	Humerus	328	62	46	18	15
UT97-185	Left	Humerus	326	60	50	22	20
UT97-20	Left	Humerus	333	63	49	23	20
UT98-13	Left	Humerus	328	60	49	24	20
UT99-3	Left	Humerus	299	51	39	17	15
UT13-88	Left	Humerus	337	70	51	25.3	22.4
RVO2/282B	Left	Humerus	356	65	48	23.2	18.6
