ID	Side	Element	Hum_01R	Hum_02R	Hum_03R	Hum_04R	Hum_05R
Humerus_R1	Right	Humerus	300.5	55	40.4	17.1	15
Humerus_R2	Right	Humerus	300	51	42.7	20.1	16.1
Humerus_R3	Right	Humerus	306	63	42.6	22.1	16
Humerus_R4	Right	Humerus	338	61	52	24	20
Humerus_R5	Right	Humerus	317	60	49	24	18
Humerus_R6	Right	Humerus	305	63	49	24	20
Humerus_R7	Right	Humerus	302	57	39	21	16
Humerus_R8	Right	Humerus	304	60	43	23	16
Humerus_R9	Right	Humerus	330	62	47	24	20
Humerus_R10	Right	Humerus	371	64	51	26	19
Humerus_R11	Right	Humerus	310	66	46	23	19
Humerus_R12	Right	Humerus	329	65	44	20	22
Humerus_R13	Right	Humerus	332	68	51	25	21
Humerus_R14	Right	Humerus	355	60	45	27	20
Humerus_R15	Right	Humerus	341	65	48	26	21
Humerus_R16	Right	Humerus	322	61	45	23	20
Humerus_R17	Right	Humerus	302	58	43	21	16
Humerus_R18	Right	Humerus	301	61	47	24	22
Humerus_R19	Right	Humerus	328	67	53	24	20
Humerus_R20	Right	Humerus	342	66	53	24	16
Humerus_R21	Right	Humerus	326	63	42	19	15
Humerus_R22	Right	Humerus	285	51	40	20	16
Humerus_R23	Right	Humerus	316	55	40	22	15
Humerus_R24	Right	Humerus	273	51	36	19	14
Humerus_R25	Right	Humerus	341	61	46	24	20
Humerus_R26	Right	Humerus	345	62	48	23	19
Humerus_R27	Right	Humerus	306	59	41	22	16
Humerus_R28	Right	Humerus	346	67	51	25	19
Humerus_R29	Right	Humerus	294	55	40	19	14
Humerus_R30	Right	Humerus	297	61	42	23	18
Humerus_R31	Right	Humerus	340	62	50	24	18
Humerus_R32	Right	Humerus	357	66	49	23	20
Humerus_R33	Right	Humerus	357	67	50	20	27
Humerus_R34	Right	Humerus	362	65	48	21	20
Humerus_R35	Right	Humerus	354	66	50	22	18
Humerus_R36	Right	Humerus	320	54	43	20	14
Humerus_R37	Right	Humerus	301	53	41	19	14
