ID	Side	Element	Hum_01R	Hum_02R	Hum_03R	Hum_04R	Hum_05R
847	Right	Humerus	300.5	55	40.4	17.1	15
1153	Right	Humerus	300	51	42.7	20.1	16.1
1523	Right	Humerus	306	63	42.6	22.1	16
UT1-87	Right	Humerus	338	61	52	24	20
UT10-88	Right	Humerus	317	60	49	24	18
UT11-93	Right	Humerus	305	63	49	24	20
UT11-95	Right	Humerus	302	57	39	21	16
UT12-92	Right	Humerus	304	60	43	23	16
UT12-94	Right	Humerus	330	62	47	24	20
UT16-93	Right	Humerus	371	64	51	26	19
UT17-91	Right	Humerus	310	66	46	23	19
UT17-92	Right	Humerus	329	65	44	20	22
UT2-81	Right	Humerus	332	68	51	25	21
UT2-87	Right	Humerus	355	60	45	27	20
UT2-93	Right	Humerus	341	65	48	26	21
UT20-88	Right	Humerus	322	61	45	23	20
UT20-94	Right	Humerus	302	58	43	21	16
UT4-91	Right	Humerus	301	61	47	24	22
UT5-95	Right	Humerus	328	67	53	24	20
UT6-86	Right	Humerus	342	66	53	24	16
UT6-97	Right	Humerus	326	63	42	19	15
UT71-1	Right	Humerus	285	51	40	20	16
UT73-1	Right	Humerus	316	55	40	22	15
UT74-5	Right	Humerus	273	51	36	19	14
UT77-9	Right	Humerus	341	61	46	24	20
UT79-13	Right	Humerus	345	62	48	23	19
UT81-24	Right	Humerus	306	59	41	22	16
UT82-20	Right	Humerus	346	67	51	25	19
UT83-1	Right	Humerus	294	55	40	19	14
UT83-24	Right	Humerus	297	61	42	23	18
UT83-25	Right	Humerus	340	62	50	24	18
UT84-3	Right	Humerus	357	66	49	23	20
UT85-26	Right	Humerus	357	67	50	20	27
UT85-35	Right	Humerus	362	65	48	21	20
UT85-4	Right	Humerus	354	66	50	22	18
UT85-8	Right	Humerus	320	54	43	20	14
UT86-15	Right	Humerus	301	53	41	19	14
UT86-18	Right	Humerus	342	62	51	24	18
UT86-30	Right	Humerus	357	68	49	28	22
UT87-20	Right	Humerus	336	66	49	21	24
UT87-8	Right	Humerus	298	57	41	20	16
UT88-22	Right	Humerus	300	57	43	22	17
UT88-4	Right	Humerus	323	67	48	26	23
UT89-1	Right	Humerus	286	51	39	19	13
UT89-10	Right	Humerus	330	66	52	26	19
UT89-13/FA-89-67	Right	Humerus	292	53	40	18	15
UT89-23	Right	Humerus	332	67	50	23	18
UT89-24	Right	Humerus	294	50	41	18	14
UT9-87	Right	Humerus	330	54	38	21	15
UT90-28	Right	Humerus	380	70	50	25	20
UT90-44	Right	Humerus	355	69	49	26	21
UT90-4;FA89-172	Right	Humerus	333	57	41	24	14
UT90-8	Right	Humerus	343	67	46	23	18
UT91-10	Right	Humerus	358	70	49	23	20
UT91-17	Right	Humerus	303	56	40	20	15
UT91-30	Right	Humerus	344	66	51	23	21
UT91-34	Right	Humerus	338	58	45	22	17
UT91-36	Right	Humerus	340	69	47	23	19
UT91-42	Right	Humerus	349	61	50	23	20
UT92-15	Right	Humerus	338	67	52	25	19
UT93-42	Right	Humerus	343	73	54	18	26
UT94-10	Right	Humerus	365	69	51	22	19
UT95-10	Right	Humerus	298	57	40	19	15
UT95-25	Right	Humerus	337	67	50	23	19
UT95-8	Right	Humerus	335	54	40	18	20
UT96-35	Right	Humerus	335	62	47	19	16
UT97-185	Right	Humerus	329	61	51	23	20
UT97-20	Right	Humerus	335	61	50	25	20
UT98-13	Right	Humerus	329	61	49	23	20
UT99-3	Right	Humerus	303	52	40	19	14
UT13-88	Right	Humerus	328	71	52	26.8	24
RVO2/282B	Right	Humerus	357	65	48.2	23.3	18.2
RVO2/276B	Right	Humerus	320	57	46.2	21.9	18.6
RVO2/310B	Right	Humerus	324	64	48.2	23	18.3
RVO2/210B	Right	Humerus	346	69	50.2	25	18
RVO2/206B	Right	Humerus	329	60	46.8	22.4	18
RVO2/220B	Right	Humerus	340	64	51.4	24.4	20.1
RVO2/576B	Right	Humerus	335	64	50.4	25.2	19.2
RVO2/297B	Right	Humerus	318	63	47.3	22.6	18.8
RVO2/442B	Right	Humerus	336	62	50.5	27.3	19
RVO2/186B	Right	Humerus	355	62	48.9	22.7	17.3
RVO2/180B	Right	Humerus	350	64	49.2	22.6	20
RVO2/117B	Right	Humerus	359	68	50.9	26	20.6
ZJO6/560B	Right	Humerus	337	66	47.5	28.3	21.2
ZJO6/437B	Right	Humerus	351	65	48.7	25	19.5
ZJO6/644B	Right	Humerus	367	69	51	26	22
ZJO6/224B	Right	Humerus	367	69	52.9	25.2	21.1
ZJO6/628B	Right	Humerus	337	57	47.6	21.6	19.3
GLO1/177B	Right	Humerus	330	63	49.9	22.7	18.8
ZJO6/491B	Right	Humerus	307	60	44.5	21	19.2
GLO1/340B	Right	Humerus	331	64	49	22.7	20
ZJO6/582B	Right	Humerus	342	65	48.4	21.8	19.4
GLO7/031B	Right	Humerus	307	65	47.4	21.9	18.9
ZJO6/155B	Right	Humerus	338	63	49.4	26	21
ZJO6/258B	Right	Humerus	345	64	46.6	23.5	20
GLO7/026B	Right	Humerus	322	61	48.1	23.9	19.3
27-7-20/61062.0	Right	Humerus	312	58	44.42	21.05	14.95
27-7-20/61079.0	Right	Humerus	276	54	38.61	20.36	15.13
93-3-20/48009.0	Right	Humerus	287	55	40.61	20.41	13.94
27-7-20/61022.0	Right	Humerus	302	51	40.96	17.26	14.03
27-7-20/61002.0	Right	Humerus	286	54	37.8	18.79	13.47
382767	Right	Humerus	310	58	45.2	28.3	19
381137	Right	Humerus	308	53	45.1	20.2	14.4
385723	Right	Humerus	284	58	41.2	20.6	16.5
325270	Right	Humerus	257	48	35.4	18	13.6
325266	Right	Humerus	322	63	47.3	27.2	19.6
325268	Right	Humerus	320	60	45.9	23.3	17.4
325269	Right	Humerus	306	58	47.5	23.5	19.7
325267	Right	Humerus	303	62	45.1	21.9	19.7
364426	Right	Humerus	292	58	43	20.8	15.4
364428	Right	Humerus	316	55	44.2	21	16
2001-008-I-01	Right	Humerus	328	67	48	21.5	18.4
2011-078-I-01	Right	Humerus	358	68	52.3	24.8	20.4
2011-026-I-01	Right	Humerus	343	61	44	16	22
2011-027-I-01	Right	Humerus	343	70	48	24	20
2011-028-I-01	Right	Humerus	324	59	49	22	18
2009-130-I-02	Right	Humerus	310	57	43	24	19
DS	Right	Humerus	338	59	46.4	21.8	17.3
DS	Right	Humerus	325	64	50.4	24.4	17.3
DS	Right	Humerus	298.5	59.5	46.6	25	19.8
DS	Right	Humerus	291	65	46.8	26.1	20.6
DS	Right	Humerus	301	63.5	46.3	24.5	19.6
DS	Right	Humerus	348.5	64	50.3	26.5	20.5
DS	Right	Humerus	286.5	50.5	40.8	18.4	14
DS	Right	Humerus	292	58.5	42.1	23.2	16.2
DS	Right	Humerus	322	62	48.4	23.9	19.2
DS	Right	Humerus	328	69	50.4	23.1	18.5
DS	Right	Humerus	308	57	42.4	23.2	18.2
DS	Right	Humerus	327	64	44.6	23.9	17
DS	Right	Humerus	315	59	42.9	21.7	18.5
2013-115-I-01	Right	Humerus	349	64	48	27	19
2013-116-I-01	Right	Humerus	374	63.7	50.7	26.9	19.5
2013-120-I-01	Right	Humerus	350	66	50	24	20
2013-151-I-01	Right	Humerus	339	59.9	46.1	21.1	15
2013-176-I-01	Right	Humerus	333	63	44	22	19
2013-204-I-01	Right	Humerus	332	66	52	28	23
2013-213-I-01	Right	Humerus	350.5	55.5	44.7	20.2	16.2
