ID	Side	Element	Osc_01	Osc_02
Os_coxa_L1	Left	Os_coxa	222	162
Os_coxa_L2	Left	Os_coxa	190	152
Os_coxa_L3	Left	Os_coxa	229	165
Os_coxa_L4	Left	Os_coxa	213	148
Os_coxa_L5	Left	Os_coxa	209	157
Os_coxa_L6	Left	Os_coxa	205	161
Os_coxa_L7	Left	Os_coxa	230	172
Os_coxa_L8	Left	Os_coxa	237	177
Os_coxa_L9	Left	Os_coxa	247	227
Os_coxa_L10	Left	Os_coxa	216	154
Os_coxa_L11	Left	Os_coxa	231	160
Os_coxa_L12	Left	Os_coxa	216	164
Os_coxa_L13	Left	Os_coxa	208	167
Os_coxa_L14	Left	Os_coxa	203	157
Os_coxa_L15	Left	Os_coxa	212	157
Os_coxa_L16	Left	Os_coxa	230	182
Os_coxa_L17	Left	Os_coxa	233	167
Os_coxa_L18	Left	Os_coxa	184	149
Os_coxa_L19	Left	Os_coxa	216	159
Os_coxa_L20	Left	Os_coxa	204	159
Os_coxa_L21	Left	Os_coxa	230	169
Os_coxa_L22	Left	Os_coxa	231	165
Os_coxa_L23	Left	Os_coxa	212	153
Os_coxa_L24	Left	Os_coxa	216	148
Os_coxa_L25	Left	Os_coxa	219	160
Os_coxa_L26	Left	Os_coxa	215	165
Os_coxa_L27	Left	Os_coxa	210	159
Os_coxa_L28	Left	Os_coxa	255	227
Os_coxa_L29	Left	Os_coxa	200	141
Os_coxa_L30	Left	Os_coxa	229	158
Os_coxa_L31	Left	Os_coxa	235	172
Os_coxa_L32	Left	Os_coxa	196	146
Os_coxa_L33	Left	Os_coxa	216	170
Os_coxa_L34	Left	Os_coxa	206	158
Os_coxa_L35	Left	Os_coxa	216	158
Os_coxa_L36	Left	Os_coxa	209	161
Os_coxa_L37	Left	Os_coxa	197	141
Os_coxa_L38	Left	Os_coxa	217	177
Os_coxa_L39	Left	Os_coxa	166	133
Os_coxa_L40	Left	Os_coxa	180	138
Os_coxa_L41	Left	Os_coxa	203	150
Os_coxa_L42	Left	Os_coxa	221	161
Os_coxa_L43	Left	Os_coxa	212	155
Os_coxa_L44	Left	Os_coxa	187	153
Os_coxa_L45	Left	Os_coxa	195	140
Os_coxa_L46	Left	Os_coxa	205	143
