ID	Side	Element	Osc_01	Osc_02
UT1-87	Left	Os_coxa	222	162
UT1-88	Left	Os_coxa	190	152
UT10-88	Left	Os_coxa	229	165
UT10-91	Left	Os_coxa	213	148
UT11-87	Left	Os_coxa	209	157
UT11-95	Left	Os_coxa	205	161
UT12-87	Left	Os_coxa	230	172
UT12-89	Left	Os_coxa	237	177
UT12-90	Left	Os_coxa	247	227
UT12-94	Left	Os_coxa	216	154
UT14-87	Left	Os_coxa	231	160
UT14-90	Left	Os_coxa	216	164
UT14-91	Left	Os_coxa	208	167
UT15-89	Left	Os_coxa	203	157
UT16-89	Left	Os_coxa	212	157
UT16-90	Left	Os_coxa	230	182
UT16-93	Left	Os_coxa	233	167
UT17-90	Left	Os_coxa	184	149
UT17-91	Left	Os_coxa	216	159
UT17-92	Left	Os_coxa	204	159
UT2-81	Left	Os_coxa	230	169
UT2-89	Left	Os_coxa	231	165
UT20-90	Left	Os_coxa	212	153
UT20-94	Left	Os_coxa	216	148
UT21-90	Left	Os_coxa	219	160
UT23-88	Left	Os_coxa	215	165
UT4-91	Left	Os_coxa	210	159
UT4-92	Left	Os_coxa	255	227
UT5-91	Left	Os_coxa	200	141
UT5-95	Left	Os_coxa	229	158
UT6-86	Left	Os_coxa	235	172
UT6-88	Left	Os_coxa	196	146
UT6-97	Left	Os_coxa	216	170
UT7-86	Left	Os_coxa	206	158
UT7-89	Left	Os_coxa	216	158
UT71-3B	Left	Os_coxa	209	161
UT73-1	Left	Os_coxa	197	141
UT74-11	Left	Os_coxa	217	177
UT74-5	Left	Os_coxa	166	133
UT75-3	Left	Os_coxa	180	138
UT77-2	Left	Os_coxa	203	150
UT78-14	Left	Os_coxa	221	161
UT78-8	Left	Os_coxa	212	155
UT80-12	Left	Os_coxa	187	153
UT81-24	Left	Os_coxa	195	140
UT82-1	Left	Os_coxa	205	143
UT82-20	Left	Os_coxa	238	177
UT83-1	Left	Os_coxa	193	146
UT83-24	Left	Os_coxa	207	150
UT83-25	Left	Os_coxa	222	163
UT83-26	Left	Os_coxa	202	150
UT83-29	Left	Os_coxa	214	153
UT84-14	Left	Os_coxa	228	164
UT84-16	Left	Os_coxa	210	160
UT84-3	Left	Os_coxa	221	161
UT85-2	Left	Os_coxa	193	142
UT85-35	Left	Os_coxa	238	157
UT86-10	Left	Os_coxa	192	137
