ID	Side	Element	Osc_01R	Osc_02R
Os_coxa_R1	Right	Os_coxa	223	158
Os_coxa_R2	Right	Os_coxa	190	153
Os_coxa_R3	Right	Os_coxa	227	164
Os_coxa_R4	Right	Os_coxa	214	146
Os_coxa_R5	Right	Os_coxa	205	157
Os_coxa_R6	Right	Os_coxa	205	169
Os_coxa_R7	Right	Os_coxa	223	173
Os_coxa_R8	Right	Os_coxa	235	179
Os_coxa_R9	Right	Os_coxa	248	226
Os_coxa_R10	Right	Os_coxa	215	155
Os_coxa_R11	Right	Os_coxa	228	166
Os_coxa_R12	Right	Os_coxa	212	163
Os_coxa_R13	Right	Os_coxa	209	168
Os_coxa_R14	Right	Os_coxa	204	155
Os_coxa_R15	Right	Os_coxa	216	155
Os_coxa_R16	Right	Os_coxa	233	182
Os_coxa_R17	Right	Os_coxa	233	170
Os_coxa_R18	Right	Os_coxa	185	149
Os_coxa_R19	Right	Os_coxa	215	157
Os_coxa_R20	Right	Os_coxa	210	159
Os_coxa_R21	Right	Os_coxa	230	169
Os_coxa_R22	Right	Os_coxa	230	166
Os_coxa_R23	Right	Os_coxa	214	152
Os_coxa_R24	Right	Os_coxa	215	151
Os_coxa_R25	Right	Os_coxa	214	160
Os_coxa_R26	Right	Os_coxa	215	163
Os_coxa_R27	Right	Os_coxa	204	157
Os_coxa_R28	Right	Os_coxa	254	229
Os_coxa_R29	Right	Os_coxa	197	140
Os_coxa_R30	Right	Os_coxa	227	160
Os_coxa_R31	Right	Os_coxa	230	171
Os_coxa_R32	Right	Os_coxa	196	146
Os_coxa_R33	Right	Os_coxa	214	169
Os_coxa_R34	Right	Os_coxa	207	160
Os_coxa_R35	Right	Os_coxa	217	160
Os_coxa_R36	Right	Os_coxa	207	160
Os_coxa_R37	Right	Os_coxa	198	144
Os_coxa_R38	Right	Os_coxa	220	180
Os_coxa_R39	Right	Os_coxa	170	132
Os_coxa_R40	Right	Os_coxa	180	140
Os_coxa_R41	Right	Os_coxa	201	154
Os_coxa_R42	Right	Os_coxa	217	162
Os_coxa_R43	Right	Os_coxa	215	153
Os_coxa_R44	Right	Os_coxa	187	153
Os_coxa_R45	Right	Os_coxa	191	139
Os_coxa_R46	Right	Os_coxa	206	146
Os_coxa_R47	Right	Os_coxa	239	175
Os_coxa_R48	Right	Os_coxa	191	147
Os_coxa_R49	Right	Os_coxa	206	149
Os_coxa_R50	Right	Os_coxa	219	160
Os_coxa_R51	Right	Os_coxa	201	150
Os_coxa_R52	Right	Os_coxa	213	150
Os_coxa_R53	Right	Os_coxa	227	166
Os_coxa_R54	Right	Os_coxa	211	161
Os_coxa_R55	Right	Os_coxa	221	158
Os_coxa_R56	Right	Os_coxa	195	141
Os_coxa_R57	Right	Os_coxa	237	161
Os_coxa_R58	Right	Os_coxa	202	148
Os_coxa_R59	Right	Os_coxa	204	156
Os_coxa_R60	Right	Os_coxa	219	155
Os_coxa_R61	Right	Os_coxa	229	160
Os_coxa_R62	Right	Os_coxa	201	146
Os_coxa_R63	Right	Os_coxa	194	148
Os_coxa_R64	Right	Os_coxa	231	165
Os_coxa_R65	Right	Os_coxa	193	151
Os_coxa_R66	Right	Os_coxa	229	169
Os_coxa_R67	Right	Os_coxa	168	144
Os_coxa_R68	Right	Os_coxa	142	103
Os_coxa_R69	Right	Os_coxa	185	136
Os_coxa_R70	Right	Os_coxa	241	178
Os_coxa_R71	Right	Os_coxa	248	178
Os_coxa_R72	Right	Os_coxa	193	171
Os_coxa_R73	Right	Os_coxa	217	170
Os_coxa_R74	Right	Os_coxa	238	170
Os_coxa_R75	Right	Os_coxa	221	154
Os_coxa_R76	Right	Os_coxa	210	136
Os_coxa_R77	Right	Os_coxa	226	171
Os_coxa_R78	Right	Os_coxa	241	179
Os_coxa_R79	Right	Os_coxa	226	159
Os_coxa_R80	Right	Os_coxa	192	128
Os_coxa_R81	Right	Os_coxa	215	151
Os_coxa_R82	Right	Os_coxa	217	157
Os_coxa_R83	Right	Os_coxa	220	153
Os_coxa_R84	Right	Os_coxa	216	165
Os_coxa_R85	Right	Os_coxa	226	174
Os_coxa_R86	Right	Os_coxa	208	162
Os_coxa_R87	Right	Os_coxa	230	169
Os_coxa_R88	Right	Os_coxa	215	159
Os_coxa_R89	Right	Os_coxa	221	167
Os_coxa_R90	Right	Os_coxa	230	178
Os_coxa_R91	Right	Os_coxa	234	182
Os_coxa_R92	Right	Os_coxa	227	167
Os_coxa_R93	Right	Os_coxa	234	162
Os_coxa_R94	Right	Os_coxa	235	164
Os_coxa_R95	Right	Os_coxa	235	169
Os_coxa_R96	Right	Os_coxa	226	170
Os_coxa_R97	Right	Os_coxa	228	170
Os_coxa_R98	Right	Os_coxa	236	165
Os_coxa_R99	Right	Os_coxa	237	166
Os_coxa_R100	Right	Os_coxa	246	182
Os_coxa_R101	Right	Os_coxa	250	195
Os_coxa_R102	Right	Os_coxa	216	164
Os_coxa_R103	Right	Os_coxa	223	166
Os_coxa_R104	Right	Os_coxa	202	152.5
Os_coxa_R105	Right	Os_coxa	241	177
Os_coxa_R106	Right	Os_coxa	216	163
Os_coxa_R107	Right	Os_coxa	230	163
Os_coxa_R108	Right	Os_coxa	226	166
Os_coxa_R109	Right	Os_coxa	209	153
Os_coxa_R110	Right	Os_coxa	210	144
Os_coxa_R111	Right	Os_coxa	180	139
Os_coxa_R112	Right	Os_coxa	192	147
Os_coxa_R113	Right	Os_coxa	189	149
Os_coxa_R114	Right	Os_coxa	182	140
Os_coxa_R115	Right	Os_coxa	203	161
Os_coxa_R116	Right	Os_coxa	198	145
Os_coxa_R117	Right	Os_coxa	183	138
Os_coxa_R118	Right	Os_coxa	221	161
Os_coxa_R119	Right	Os_coxa	215	158
Os_coxa_R120	Right	Os_coxa	213	161
Os_coxa_R121	Right	Os_coxa	204	148
Os_coxa_R122	Right	Os_coxa	187	152
Os_coxa_R123	Right	Os_coxa	202	142
Os_coxa_R124	Right	Os_coxa	188	149
Os_coxa_R125	Right	Os_coxa	211	157
Os_coxa_R126	Right	Os_coxa	241	175
Os_coxa_R127	Right	Os_coxa	217	160
Os_coxa_R128	Right	Os_coxa	193	146
Os_coxa_R129	Right	Os_coxa	225	162
Os_coxa_R130	Right	Os_coxa	217	172
Os_coxa_R131	Right	Os_coxa	220	165.5
Os_coxa_R132	Right	Os_coxa	210.5	158
Os_coxa_R133	Right	Os_coxa	220	148.7
Os_coxa_R134	Right	Os_coxa	213	156.5
Os_coxa_R135	Right	Os_coxa	230.5	69
Os_coxa_R136	Right	Os_coxa	212	168
Os_coxa_R137	Right	Os_coxa	196.5	133
Os_coxa_R138	Right	Os_coxa	206	155.5
Os_coxa_R139	Right	Os_coxa	234	171
Os_coxa_R140	Right	Os_coxa	223	163
Os_coxa_R141	Right	Os_coxa	202	148
Os_coxa_R142	Right	Os_coxa	231	171
Os_coxa_R143	Right	Os_coxa	225	167
Os_coxa_R144	Right	Os_coxa	201	155
Os_coxa_R145	Right	Os_coxa	232	167
Os_coxa_R146	Right	Os_coxa	203	133
Os_coxa_R147	Right	Os_coxa	232	168
Os_coxa_R148	Right	Os_coxa	211	156
