ID	Side	Element	Osc_01R	Osc_02R
UT1-87	Right	Os_coxa	223	158
UT1-88	Right	Os_coxa	190	153
UT10-88	Right	Os_coxa	227	164
UT10-91	Right	Os_coxa	214	146
UT11-87	Right	Os_coxa	205	157
UT11-95	Right	Os_coxa	205	169
UT12-87	Right	Os_coxa	223	173
UT12-89	Right	Os_coxa	235	179
UT12-90	Right	Os_coxa	248	226
UT12-94	Right	Os_coxa	215	155
UT14-87	Right	Os_coxa	228	166
UT14-90	Right	Os_coxa	212	163
UT14-91	Right	Os_coxa	209	168
UT15-89	Right	Os_coxa	204	155
UT16-89	Right	Os_coxa	216	155
UT16-90	Right	Os_coxa	233	182
UT16-93	Right	Os_coxa	233	170
UT17-90	Right	Os_coxa	185	149
UT17-91	Right	Os_coxa	215	157
UT17-92	Right	Os_coxa	210	159
UT2-81	Right	Os_coxa	230	169
UT2-89	Right	Os_coxa	230	166
UT20-90	Right	Os_coxa	214	152
UT20-94	Right	Os_coxa	215	151
UT21-90	Right	Os_coxa	214	160
UT23-88	Right	Os_coxa	215	163
UT4-91	Right	Os_coxa	204	157
UT4-92	Right	Os_coxa	254	229
UT5-91	Right	Os_coxa	197	140
UT5-95	Right	Os_coxa	227	160
UT6-86	Right	Os_coxa	230	171
UT6-88	Right	Os_coxa	196	146
UT6-97	Right	Os_coxa	214	169
UT7-86	Right	Os_coxa	207	160
UT7-89	Right	Os_coxa	217	160
UT71-3B	Right	Os_coxa	207	160
UT73-1	Right	Os_coxa	198	144
UT74-11	Right	Os_coxa	220	180
UT74-5	Right	Os_coxa	170	132
UT75-3	Right	Os_coxa	180	140
UT77-2	Right	Os_coxa	201	154
UT78-14	Right	Os_coxa	217	162
UT78-8	Right	Os_coxa	215	153
UT80-12	Right	Os_coxa	187	153
UT81-24	Right	Os_coxa	191	139
UT82-1	Right	Os_coxa	206	146
UT82-20	Right	Os_coxa	239	175
UT83-1	Right	Os_coxa	191	147
UT83-24	Right	Os_coxa	206	149
UT83-25	Right	Os_coxa	219	160
