ID	Side	Element	Rad_01	Rad_05	Rad_06
Radius_L1	Left	Radius	314	15.9	19.1
Radius_L2	Left	Radius	215	10.4	13.4
Radius_L3	Left	Radius	205	11.1	14.8
Radius_L4	Left	Radius	224	11.3	17.2
Radius_L5	Left	Radius	255	12	16
Radius_L6	Left	Radius	256	13	17
Radius_L7	Left	Radius	232	13	18
Radius_L8	Left	Radius	226	10	14
Radius_L9	Left	Radius	234	11	15
Radius_L10	Left	Radius	253	13	18
Radius_L11	Left	Radius	269	14	16
Radius_L12	Left	Radius	247	13	18
Radius_L13	Left	Radius	253	13	17
Radius_L14	Left	Radius	253	13	18
Radius_L15	Left	Radius	241	13	17
Radius_L16	Left	Radius	235	11	8
Radius_L17	Left	Radius	229	14	17
Radius_L18	Left	Radius	248	14	17
Radius_L19	Left	Radius	253	12	17
Radius_L20	Left	Radius	230	9	14
Radius_L21	Left	Radius	215	10	13
Radius_L22	Left	Radius	241	12	17
Radius_L23	Left	Radius	251	13	15
Radius_L24	Left	Radius	241	12	14
Radius_L25	Left	Radius	260	12	17
Radius_L26	Left	Radius	221	12	15
Radius_L27	Left	Radius	267	11	16
Radius_L28	Left	Radius	218	10	12
Radius_L29	Left	Radius	248	11	16
Radius_L30	Left	Radius	242	12	18
Radius_L31	Left	Radius	264	12	15
Radius_L32	Left	Radius	225	12	15
Radius_L33	Left	Radius	276	14	18
Radius_L34	Left	Radius	270	12	15
Radius_L35	Left	Radius	257	12	17
Radius_L36	Left	Radius	239	11	13
Radius_L37	Left	Radius	275	14	18
Radius_L38	Left	Radius	255	13	16
Radius_L39	Left	Radius	228	10	13
Radius_L40	Left	Radius	216	10	12
Radius_L41	Left	Radius	252	13	17
Radius_L42	Left	Radius	218	9	14
Radius_L43	Left	Radius	250	13	15
Radius_L44	Left	Radius	152	8	11
Radius_L45	Left	Radius	251	11	13
Radius_L46	Left	Radius	266	13	16
Radius_L47	Left	Radius	278	14	19
Radius_L48	Left	Radius	254	12	17
Radius_L49	Left	Radius	282	14	19
Radius_L50	Left	Radius	244	12	17
Radius_L51	Left	Radius	253	12	15
Radius_L52	Left	Radius	257	13	16
Radius_L53	Left	Radius	278	14	15
Radius_L54	Left	Radius	258	13	17
Radius_L55	Left	Radius	262	12	15
Radius_L56	Left	Radius	252	13	17
Radius_L57	Left	Radius	268	12	15
Radius_L58	Left	Radius	227	9	13
Radius_L59	Left	Radius	104	7	9
Radius_L60	Left	Radius	269	12	17
Radius_L61	Left	Radius	163	8	11
Radius_L62	Left	Radius	250	11	14
Radius_L63	Left	Radius	243	12	15
Radius_L64	Left	Radius	218	11	12
Radius_L65	Left	Radius	261	13.7	18.6
Radius_L66	Left	Radius	267	13.3	17.5
Radius_L67	Left	Radius	237	13.9	15.7
Radius_L68	Left	Radius	235	12.6	16.8
Radius_L69	Left	Radius	253	14.1	19.5
Radius_L70	Left	Radius	247	12.9	17.4
Radius_L71	Left	Radius	253	11.7	15.2
Radius_L72	Left	Radius	253	13	16.5
Radius_L73	Left	Radius	254	13.1	18.5
Radius_L74	Left	Radius	242	13.2	19.1
Radius_L75	Left	Radius	265.5	12.5	17.2
Radius_L76	Left	Radius	253	12.8	18.3
Radius_L77	Left	Radius	261	14.2	18
Radius_L78	Left	Radius	261	14.2	18.2
Radius_L79	Left	Radius	259	14.1	18.9
Radius_L80	Left	Radius	253	12.2	14.1
Radius_L81	Left	Radius	242	12.8	15.6
Radius_L82	Left	Radius	244	12.3	16.3
Radius_L83	Left	Radius	263	13.2	16.5
Radius_L84	Left	Radius	247	13.5	16.4
Radius_L85	Left	Radius	232	11.2	14.6
Radius_L86	Left	Radius	250	13	16.9
Radius_L87	Left	Radius	239	12.3	18.6
Radius_L88	Left	Radius	236	13.8	17.4
Radius_L89	Left	Radius	254	11.8	16.8
Radius_L90	Left	Radius	242	11.14	15
Radius_L91	Left	Radius	215	9.76	13.64
Radius_L92	Left	Radius	213	9.26	13.39
Radius_L93	Left	Radius	225	9.43	12.79
Radius_L94	Left	Radius	215	9.81	13.01
Radius_L95	Left	Radius	244	11.7	15.2
Radius_L96	Left	Radius	187	9.1	12.7
Radius_L97	Left	Radius	238	13.1	14.7
Radius_L98	Left	Radius	245	12.4	14.7
Radius_L99	Left	Radius	237	12	16.5
Radius_L100	Left	Radius	227	11.4	16.3
Radius_L101	Left	Radius	250	11.9	14.9
