ID	Side	Element	Rad_01R	Rad_05R	Rad_06R
Radius_R1	Right	Radius	313	15.1	19.3
Radius_R2	Right	Radius	217	9.7	13.4
Radius_R3	Right	Radius	208.5	11.7	15.4
Radius_R4	Right	Radius	226	11	16.9
Radius_R5	Right	Radius	258	13	16
Radius_R6	Right	Radius	251	14	18
Radius_R7	Right	Radius	233	12	18
Radius_R8	Right	Radius	228	11	15
Radius_R9	Right	Radius	232	11	16
Radius_R10	Right	Radius	252	13	18
Radius_R11	Right	Radius	271	14	16
Radius_R12	Right	Radius	240	13	19
Radius_R13	Right	Radius	255	13	17
Radius_R14	Right	Radius	254	14	17
Radius_R15	Right	Radius	257	13	17
Radius_R16	Right	Radius	233	11	9
Radius_R17	Right	Radius	231	14	18
Radius_R18	Right	Radius	249	13	16
Radius_R19	Right	Radius	255	13	18
Radius_R20	Right	Radius	231	10	14
Radius_R21	Right	Radius	219	10	14
Radius_R22	Right	Radius	240	13	17
Radius_R23	Right	Radius	250	13	15
Radius_R24	Right	Radius	243	11	15
Radius_R25	Right	Radius	261	13	17
Radius_R26	Right	Radius	229	12	15
Radius_R27	Right	Radius	269	12	17
Radius_R28	Right	Radius	219	9	13
Radius_R29	Right	Radius	247	11	15
Radius_R30	Right	Radius	241	13	18
Radius_R31	Right	Radius	268	12	16
Radius_R32	Right	Radius	226	12	15
Radius_R33	Right	Radius	278	12	20
Radius_R34	Right	Radius	269	12	15
Radius_R35	Right	Radius	264	12	19
Radius_R36	Right	Radius	239	10	14
Radius_R37	Right	Radius	275	14	18
Radius_R38	Right	Radius	256	14	17
Radius_R39	Right	Radius	221	10	15
Radius_R40	Right	Radius	216	10	12
Radius_R41	Right	Radius	253	14	18
Radius_R42	Right	Radius	223	10	15
Radius_R43	Right	Radius	252	13	17
Radius_R44	Right	Radius	150	8	10
Radius_R45	Right	Radius	255	11	13
Radius_R46	Right	Radius	269	13	17
Radius_R47	Right	Radius	277	14	19
Radius_R48	Right	Radius	257	12	16
Radius_R49	Right	Radius	280	14	18
Radius_R50	Right	Radius	247	12	18
Radius_R51	Right	Radius	253	13	15
Radius_R52	Right	Radius	261	13	18
Radius_R53	Right	Radius	282	14	16
Radius_R54	Right	Radius	258	12	19
Radius_R55	Right	Radius	264	12	16
Radius_R56	Right	Radius	253	13	16
Radius_R57	Right	Radius	268	14	16
Radius_R58	Right	Radius	226	9	13
Radius_R59	Right	Radius	106	7	9
Radius_R60	Right	Radius	269	12	17
Radius_R61	Right	Radius	164	8	11
Radius_R62	Right	Radius	236	11	14
Radius_R63	Right	Radius	244	11	16
Radius_R64	Right	Radius	220	10	12
Radius_R65	Right	Radius	262	14.8	19.6
Radius_R66	Right	Radius	271	13.1	20
Radius_R67	Right	Radius	244	12.6	15.7
Radius_R68	Right	Radius	236	13.1	18.2
Radius_R69	Right	Radius	253	14.3	17.9
Radius_R70	Right	Radius	245	12.6	17.8
Radius_R71	Right	Radius	256	12.8	16
Radius_R72	Right	Radius	256	13.3	16
Radius_R73	Right	Radius	254	14	17.5
Radius_R74	Right	Radius	241	13.3	20.8
Radius_R75	Right	Radius	267.5	12.6	18.9
Radius_R76	Right	Radius	254	14.1	20.4
Radius_R77	Right	Radius	265	14.8	17.6
Radius_R78	Right	Radius	265	14.3	17.4
Radius_R79	Right	Radius	258	13.6	18.2
Radius_R80	Right	Radius	251	12.3	15.5
Radius_R81	Right	Radius	246	12.9	16.6
Radius_R82	Right	Radius	245.5	12.1	16.5
Radius_R83	Right	Radius	263	12.5	16.8
Radius_R84	Right	Radius	249	13.8	17.5
Radius_R85	Right	Radius	235	12	14.8
Radius_R86	Right	Radius	250	12.7	16.1
Radius_R87	Right	Radius	241	12.4	18.1
Radius_R88	Right	Radius	238	13.3	19.2
Radius_R89	Right	Radius	252	12	15.8
Radius_R90	Right	Radius	244	11.44	15.02
Radius_R91	Right	Radius	216	10.1	13.66
Radius_R92	Right	Radius	217	9.56	12.81
Radius_R93	Right	Radius	232	9.79	13.36
Radius_R94	Right	Radius	222	9.76	13.52
Radius_R95	Right	Radius	246	12	14.3
Radius_R96	Right	Radius	190	9	12.4
Radius_R97	Right	Radius	241	13.3	16.9
Radius_R98	Right	Radius	251	13	14.9
Radius_R99	Right	Radius	240	12.8	15.4
Radius_R100	Right	Radius	229	12.2	16.1
Radius_R101	Right	Radius	251	11.9	15
Radius_R102	Right	Radius	220	10.5	15.1
Radius_R103	Right	Radius	222	10.6	14.2
Radius_R104	Right	Radius	246	10.4	14.5
Radius_R105	Right	Radius	253	15.5	12.2
Radius_R106	Right	Radius	268	14.5	18.8
Radius_R107	Right	Radius	282	13	15
Radius_R108	Right	Radius	267	14	17
Radius_R109	Right	Radius	239	12	16
Radius_R110	Right	Radius	233	12	15
Radius_R111	Right	Radius	253	11.2	14.5
Radius_R112	Right	Radius	245	12	15.5
Radius_R113	Right	Radius	216	13	15.9
Radius_R114	Right	Radius	232	13.4	16.1
Radius_R115	Right	Radius	229	13.8	14.8
Radius_R116	Right	Radius	254	13.9	18.2
Radius_R117	Right	Radius	202	9.2	12.1
Radius_R118	Right	Radius	217	11.2	15.6
