ID	Side	Element	Sca_01	Sca_02
UT1-83	Left	Scapula	147	106
UT1-87	Left	Scapula	162	106
UT1-88	Left	Scapula	132	92
UT10-88	Left	Scapula	147	106
UT11-93	Left	Scapula	160	103
UT11-95	Left	Scapula	139	97
UT12-90	Left	Scapula	171	118
UT12-92	Left	Scapula	140	89
UT12-94	Left	Scapula	163	105
UT15-89	Left	Scapula	157	115
UT17-90	Left	Scapula	138	90
UT17-91	Left	Scapula	165	101
UT17-92	Left	Scapula	161	100
UT2-81	Left	Scapula	158	110
UT2-93	Left	Scapula	161	114
UT20-94	Left	Scapula	162	104
UT4-91	Left	Scapula	153	97
UT4-92	Left	Scapula	163	109
UT5-91	Left	Scapula	152	97
UT5-95	Left	Scapula	162	110
UT6-86	Left	Scapula	162	110
UT6-97	Left	Scapula	154	100
UT7-86	Left	Scapula	151	97
UT7-89	Left	Scapula	153	107
UT71-1	Left	Scapula	125	92
UT71-3B	Left	Scapula	159	105
UT73-1	Left	Scapula	139	92
UT74-5	Left	Scapula	119	84
UT77-9	Left	Scapula	165	112
UT78-14	Left	Scapula	151	115
UT79-13	Left	Scapula	162	118
UT81-23	Left	Scapula	147	93
UT81-24	Left	Scapula	131	107
UT82-2	Left	Scapula	91	58
UT83-1	Left	Scapula	134	96
UT83-24	Left	Scapula	145	101
UT83-25	Left	Scapula	164	123
UT84-3	Left	Scapula	168	106
UT85-2	Left	Scapula	149	97
UT85-26	Left	Scapula	166	121
UT85-35	Left	Scapula	165	106
UT85-4	Left	Scapula	175	114
UT85-8	Left	Scapula	140	97
UT86-15	Left	Scapula	136	97
UT86-18	Left	Scapula	164	109
UT87-20	Left	Scapula	170	106
UT87-8	Left	Scapula	150	91
UT88-1	Left	Scapula	144	106
UT89-1	Left	Scapula	131	91
UT89-10	Left	Scapula	161	118
UT89-13/FA-89-67	Left	Scapula	132	91
UT89-23	Left	Scapula	168	113
UT89-24	Left	Scapula	140	88
UT89-9	Left	Scapula	95	66
UT9-87	Left	Scapula	137	90
UT90-28	Left	Scapula	165	123
UT90-44	Left	Scapula	166	116
UT90-8	Left	Scapula	166	107
UT91-10	Left	Scapula	177	116
UT91-30	Left	Scapula	154	108
UT91-34	Left	Scapula	151	100
UT91-36	Left	Scapula	160	111
UT92-15	Left	Scapula	167	112
UT92-28	Left	Scapula	155	97
UT93-42	Left	Scapula	178	116
UT95-15	Left	Scapula	70	50
UT95-25	Left	Scapula	168	114
UT95-8	Left	Scapula	143	100
UT96-32	Left	Scapula	107	73
UT96-33	Left	Scapula	149	96
UT96-35	Left	Scapula	158	109
UT97-185	Left	Scapula	168	103
UT97-20	Left	Scapula	154	107
UT98-13	Left	Scapula	165	106
RVO2/089B	Left	Scapula	162	110.6
RVO2/576B	Left	Scapula	177	102.3
RVO2/297B	Left	Scapula	159	103.3
RVO2/068B	Left	Scapula	180	118
ZJO6/560B	Left	Scapula	165	112.9
ZJO6/437B	Left	Scapula	168	119.3
ZJO6/644B	Left	Scapula	179	119.3
GLO1/177B	Left	Scapula	159	110.3
ZJO6/491B	Left	Scapula	141	103.9
GLO7/031B	Left	Scapula	159	101.6
ZJO6/155B	Left	Scapula	168	112.6
27-7-20/61062.0	Left	Scapula	161	101.59
27-7-20/61079.0	Left	Scapula	136	88.57
93-3-20/48009.0	Left	Scapula	140	88.91
27-7-20/61022.0	Left	Scapula	133	95.19
27-7-20/61002.0	Left	Scapula	129	91.52
381137	Left	Scapula	152	95.8
325270	Left	Scapula	119	83.4
325266	Left	Scapula	164	104.9
325268	Left	Scapula	150	109.7
325269	Left	Scapula	153	103.2
325267	Left	Scapula	166	104.8
363722	Left	Scapula	144	110.3
2001-008-I-01	Left	Scapula	158	93
2011-078-I-01	Left	Scapula	183	107.1
2011-026-I-01	Left	Scapula	155	101
2011-027-I-01	Left	Scapula	158	111
DS 001	Left	Scapula	164.5	107.2
DS 034	Left	Scapula	155.5	104.3
DS 035	Left	Scapula	144.9	104.8
DS 009	Left	Scapula	166	110.5
DS 033	Left	Scapula	156.5	105.4
DS 006	Left	Scapula	162	111.8
DS 011	Left	Scapula	146	106.6
DS 010	Left	Scapula	150.8	89.7
DS 007	Left	Scapula	146.1	94.1
DS 002	Left	Scapula	161	118
DS 003	Left	Scapula	158	107.3
DS 004	Left	Scapula	141	101.3
DS 005	Left	Scapula	172	105.9
DS 008	Left	Scapula	150.8	95.4
2013-115-I-01	Left	Scapula	159	107
2013-116-I-01	Left	Scapula	179	99.1
2013-122-I-01	Left	Scapula	161	115
2013-148-I-01	Left	Scapula	143	98
2013-151-I-01	Left	Scapula	148.2	110
2013-175-I-01	Left	Scapula	174	108
2013-204-I-01	Left	Scapula	159	112
2013-206-I-01	Left	Scapula	165	109
