ID	Side	Element	Sca_01R	Sca_02R
UT1-83	Right	Scapula	146	106
UT1-87	Right	Scapula	164	104
UT1-88	Right	Scapula	133	93
UT10-88	Right	Scapula	145	113
UT11-93	Right	Scapula	159	101
UT11-95	Right	Scapula	138	97
UT12-90	Right	Scapula	164	120
UT12-92	Right	Scapula	138	89
UT12-94	Right	Scapula	160	107
UT15-89	Right	Scapula	155	116
UT17-90	Right	Scapula	137	88
UT17-91	Right	Scapula	166	98
UT17-92	Right	Scapula	165	97
UT2-81	Right	Scapula	164	106
UT2-93	Right	Scapula	156	112
UT20-94	Right	Scapula	161	105
UT4-91	Right	Scapula	157	96
UT4-92	Right	Scapula	166	109
UT5-91	Right	Scapula	150	98
UT5-95	Right	Scapula	156	109
UT6-86	Right	Scapula	163	108
UT6-97	Right	Scapula	151	100
UT7-86	Right	Scapula	154	97
UT7-89	Right	Scapula	154	107
UT71-1	Right	Scapula	127	97
UT71-3B	Right	Scapula	158	102
UT73-1	Right	Scapula	140	94
UT74-5	Right	Scapula	120	88
UT77-9	Right	Scapula	164	109
UT78-14	Right	Scapula	150	117
UT79-13	Right	Scapula	167	119
UT81-23	Right	Scapula	143	92
UT81-24	Right	Scapula	126	104
UT82-2	Right	Scapula	91	58
UT83-1	Right	Scapula	137	95
UT83-24	Right	Scapula	145	101
UT83-25	Right	Scapula	165	119
UT84-3	Right	Scapula	167	104
UT85-2	Right	Scapula	149	94
UT85-26	Right	Scapula	162	121
UT85-35	Right	Scapula	164	104
UT85-4	Right	Scapula	180	114
UT85-8	Right	Scapula	142	96
UT86-15	Right	Scapula	135	98
UT86-18	Right	Scapula	167	110
UT87-20	Right	Scapula	167	104
UT87-8	Right	Scapula	152	91
UT88-1	Right	Scapula	137	106
UT89-1	Right	Scapula	131	90
UT89-10	Right	Scapula	164	117
UT89-13/FA-89-67	Right	Scapula	131	92
UT89-23	Right	Scapula	170	111
UT89-24	Right	Scapula	142	86
UT89-9	Right	Scapula	93	65
UT9-87	Right	Scapula	139	88
UT90-28	Right	Scapula	167	122
UT90-44	Right	Scapula	170	113
UT90-8	Right	Scapula	166	103
UT91-10	Right	Scapula	177	116
UT91-30	Right	Scapula	158	107
UT91-34	Right	Scapula	147	100
UT91-36	Right	Scapula	156	111
UT92-15	Right	Scapula	163	112
UT92-28	Right	Scapula	151	98
UT93-42	Right	Scapula	175	111
UT95-15	Right	Scapula	72	49
UT95-25	Right	Scapula	160	113
UT95-8	Right	Scapula	143	101
UT96-32	Right	Scapula	109	73
UT96-33	Right	Scapula	138	93
UT96-35	Right	Scapula	154	105
UT97-185	Right	Scapula	167	103
UT97-20	Right	Scapula	155	105
UT98-13	Right	Scapula	160	104
RVO2/089B	Right	Scapula	157	111.2
RVO2/576B	Right	Scapula	173	106.9
RVO2/297B	Right	Scapula	163	104.9
RVO2/068B	Right	Scapula	180	120
ZJO6/560B	Right	Scapula	164	114.2
ZJO6/437B	Right	Scapula	166	117.1
ZJO6/644B	Right	Scapula	183	116.9
GLO1/177B	Right	Scapula	162	110.9
ZJO6/491B	Right	Scapula	146	102.6
GLO7/031B	Right	Scapula	155	101.2
ZJO6/155B	Right	Scapula	167	110.3
27-7-20/61062.0	Right	Scapula	159	101.09
27-7-20/61079.0	Right	Scapula	133	89.14
93-3-20/48009.0	Right	Scapula	138	89.05
27-7-20/61022.0	Right	Scapula	136	92.62
27-7-20/61002.0	Right	Scapula	127	89.03
381137	Right	Scapula	156	97.2
325270	Right	Scapula	121	83
325266	Right	Scapula	167	106.5
325268	Right	Scapula	150	109.7
325269	Right	Scapula	154	104.1
325267	Right	Scapula	161	107.4
363722	Right	Scapula	138	104.8
2001-008-I-01	Right	Scapula	163	92
2011-078-I-01	Right	Scapula	181	108.1
2011-026-I-01	Right	Scapula	156	104
2011-027-I-01	Right	Scapula	156	113
DS 001	Right	Scapula	167	107.8
DS 034	Right	Scapula	157.5	103.7
DS 035	Right	Scapula	151.2	102.1
DS 009	Right	Scapula	167.5	109.6
DS 033	Right	Scapula	156	104.3
DS 006	Right	Scapula	165	115.1
DS 011	Right	Scapula	143.3	105.5
DS 010	Right	Scapula	151	87.5
DS 007	Right	Scapula	140.7	94.8
DS 002	Right	Scapula	161	118.7
DS 003	Right	Scapula	157.5	108.5
DS 004	Right	Scapula	139.5	100.1
DS 005	Right	Scapula	174	107.3
DS 008	Right	Scapula	144.6	93.4
2013-115-I-01	Right	Scapula	157	104
2013-116-I-01	Right	Scapula	178	101.4
2013-122-I-01	Right	Scapula	155	113
2013-148-I-01	Right	Scapula	141	99
2013-151-I-01	Right	Scapula	151.1	108.8
2013-175-I-01	Right	Scapula	171	110
2013-204-I-01	Right	Scapula	163	114
2013-206-I-01	Right	Scapula	165	109
