ID	Side	Element	Tib_01	Tib_02	Tib_03	Tib_04	Tib_05
Tibia_L1	Left	Tibia	404	82	53	36	24
Tibia_L2	Left	Tibia	399	81	50	42	24
Tibia_L3	Left	Tibia	367	73	49	33	22
Tibia_L4	Left	Tibia	410	79	50	40	25
Tibia_L5	Left	Tibia	349	69	46	34	21
Tibia_L6	Left	Tibia	386	76	50	37	24
Tibia_L7	Left	Tibia	425	79	52	38	33
Tibia_L8	Left	Tibia	379	76	50	34	23
Tibia_L9	Left	Tibia	396	75	51	37	27
Tibia_L10	Left	Tibia	384	84	57	39	27
Tibia_L11	Left	Tibia	389	79	50	41	24
Tibia_L12	Left	Tibia	344	75	50	32	25
Tibia_L13	Left	Tibia	341	75	49	39	26
Tibia_L14	Left	Tibia	387	81	56	33	21
Tibia_L15	Left	Tibia	380	83	55	38	24
Tibia_L16	Left	Tibia	378	72	49	34	20
Tibia_L17	Left	Tibia	334	67	45	30	21
Tibia_L18	Left	Tibia	370	75	50	35	26
Tibia_L19	Left	Tibia	385	75	50	36	24
Tibia_L20	Left	Tibia	337	64	40	33	23
Tibia_L21	Left	Tibia	407	78	54	34	27
Tibia_L22	Left	Tibia	342	65	44	30	21
Tibia_L23	Left	Tibia	386	74	44	34	25
Tibia_L24	Left	Tibia	430	82	55	44	29
Tibia_L25	Left	Tibia	371	68	43	28	20
Tibia_L26	Left	Tibia	343	65	44	30	22
Tibia_L27	Left	Tibia	399	78	51	31	22
Tibia_L28	Left	Tibia	383	78	50	34	26
Tibia_L29	Left	Tibia	337	64	44	29	19
Tibia_L30	Left	Tibia	395	81	54	37	23
Tibia_L31	Left	Tibia	346	72	45	29	22
Tibia_L32	Left	Tibia	399	79	40	36	25
Tibia_L33	Left	Tibia	376	76	46	31	25
Tibia_L34	Left	Tibia	328	66	41	29	18
Tibia_L35	Left	Tibia	396	63	47	30	22
Tibia_L36	Left	Tibia	387	77	46	31	23
Tibia_L37	Left	Tibia	402	81	51	39	25
Tibia_L38	Left	Tibia	365	72	45	33	24
Tibia_L39	Left	Tibia	442	84	51	40	31
Tibia_L40	Left	Tibia	376	79	57	37	26
Tibia_L41	Left	Tibia	385	74	47	34	23
Tibia_L42	Left	Tibia	429	80	48	39	28
Tibia_L43	Left	Tibia	405	82	58	39	25
Tibia_L44	Left	Tibia	163	39	28	16	15
Tibia_L45	Left	Tibia	390	73	49	30	23
Tibia_L46	Left	Tibia	404	77	50	36	24
Tibia_L47	Left	Tibia	387	74	49	35	23
Tibia_L48	Left	Tibia	387	79	54	39	28
Tibia_L49	Left	Tibia	362	71	47	38	24.7
Tibia_L50	Left	Tibia	374	81	49	39.7	30.1
Tibia_L51	Left	Tibia	382	80	54	37.2	24.1
Tibia_L52	Left	Tibia	373	78	50	35.8	25.9
Tibia_L53	Left	Tibia	383	81	49	36	25.5
Tibia_L54	Left	Tibia	392	80	52	40	23.4
Tibia_L55	Left	Tibia	410	81	53	37.8	31.2
Tibia_L56	Left	Tibia	384	82	52	36.4	25.3
Tibia_L57	Left	Tibia	398	79.5	54	36.6	26.1
Tibia_L58	Left	Tibia	369	81	53	37.5	28.2
Tibia_L59	Left	Tibia	426	84	52.5	39.9	29.5
Tibia_L60	Left	Tibia	394	81	50	39.9	27.7
Tibia_L61	Left	Tibia	408	83	52	39	27.6
Tibia_L62	Left	Tibia	408	82	53	40.3	30.9
Tibia_L63	Left	Tibia	420	84	60	41.6	26.1
Tibia_L64	Left	Tibia	386	79	48	38.5	28.4
Tibia_L65	Left	Tibia	389	81	52	37.1	22.8
Tibia_L66	Left	Tibia	389	80	50	36.7	25.8
Tibia_L67	Left	Tibia	393	81	53	35.5	27.8
Tibia_L68	Left	Tibia	411	84	53	41.3	26.2
Tibia_L69	Left	Tibia	396	82	50	39.5	29.2
Tibia_L70	Left	Tibia	400	77	50	37.6	27.5
Tibia_L71	Left	Tibia	378.5	79	54	38	25.2
Tibia_L72	Left	Tibia	386	81	56	39.7	30.5
Tibia_L73	Left	Tibia	402	81	51	34.1	28.7
Tibia_L74	Left	Tibia	353	70	46	32.8	18
Tibia_L75	Left	Tibia	357	72	46	31.91	21.2
Tibia_L76	Left	Tibia	315	70	44	28.46	18.35
Tibia_L77	Left	Tibia	338	70	46	28.95	19.01
Tibia_L78	Left	Tibia	357	70	43	28.29	19.16
Tibia_L79	Left	Tibia	320	65	42	28.8	19.6
Tibia_L80	Left	Tibia	382	79	57	40	26.3
Tibia_L81	Left	Tibia	339	75	44	32.2	22.6
Tibia_L82	Left	Tibia	297	63	40	25.8	19.1
Tibia_L83	Left	Tibia	363	84	53	37.8	30.5
Tibia_L84	Left	Tibia	368	75	52	34.2	20.3
Tibia_L85	Left	Tibia	340	81	50	36	23.8
Tibia_L86	Left	Tibia	359	71	47	29.3	22.3
Tibia_L87	Left	Tibia	325	72	45	30.7	19.9
Tibia_L88	Left	Tibia	374	75	50	32.3	24.1
Tibia_L89	Left	Tibia	378	73	51	32.4	21.5
Tibia_L90	Left	Tibia	426	84	57	37.1	33.4
Tibia_L91	Left	Tibia	404	73	49	31	22
Tibia_L92	Left	Tibia	412	84	53	37	27
Tibia_L93	Left	Tibia	368	79	52	34	24
Tibia_L94	Left	Tibia	350	78	48	35	26
Tibia_L95	Left	Tibia	394	81	56	36	24.9
Tibia_L96	Left	Tibia	361	76.5	56.5	31.2	24.1
Tibia_L97	Left	Tibia	339	78.5	57	36.6	27.2
Tibia_L98	Left	Tibia	344	80	55	34	24.7
Tibia_L99	Left	Tibia	353	77	52	31.3	25.3
Tibia_L100	Left	Tibia	388.5	83	61	35.5	27.9
Tibia_L101	Left	Tibia	312	63	46	25.2	21.7
Tibia_L102	Left	Tibia	361	71.5	46.5	31.3	25.3
Tibia_L103	Left	Tibia	364	77	56	35	25.1
Tibia_L104	Left	Tibia	358	74.5	56	34.6	22.3
Tibia_L105	Left	Tibia	349	79	58.5	35.5	23.7
Tibia_L106	Left	Tibia	335	70	43.5	27.6	19.2
Tibia_L107	Left	Tibia	409	81	51	37	26
Tibia_L108	Left	Tibia	383	79	52	35.5	24
Tibia_L109	Left	Tibia	337	74	48	35	25
Tibia_L110	Left	Tibia	385	80	51	33.2	22.2
Tibia_L111	Left	Tibia	395	77	53	32	22
Tibia_L112	Left	Tibia	420	76	48	37	27
Tibia_L113	Left	Tibia	427	74	49	35.7	24
