ID	Side	Element	Tib_01R	Tib_02R	Tib_03R	Tib_04R	Tib_05R
UT1-87	Right	Tibia	397	82	55	34	26
UT10-88	Right	Tibia	393	79	51	39	23
UT11-95	Right	Tibia	366	73	49	31	23
UT12-88	Right	Tibia	411	79	48	39	26
UT12-92	Right	Tibia	348	69	46	35	21
UT12-94	Right	Tibia	382	75	49	37	26
UT16-93	Right	Tibia	430	81	53	40	32
UT17-91	Right	Tibia	371	76	49	32	24
UT17-92	Right	Tibia	398	75	50	38	26
UT2-81	Right	Tibia	388	84	56	39	28
UT2-93	Right	Tibia	387	78	49	41	24
UT20-94	Right	Tibia	342	75	50	34	25
UT4-91	Right	Tibia	340	72	48	38	28
UT5-95	Right	Tibia	384	83	56	32	22
UT6-86	Right	Tibia	379	84	54	37	24
UT6-97	Right	Tibia	380	74	47	32	20
UT71-1	Right	Tibia	335	66	46	29	21
UT71-3B	Right	Tibia	372	75	48	35	27
UT72-3	Right	Tibia	386	74	50	36	23
UT74-5	Right	Tibia	334	64	37	32	25
UT79-13	Right	Tibia	402	78	53	35	25
UT83-1	Right	Tibia	341	66	43	28	20
UT83-29	Right	Tibia	384	76	43	33	25
UT85-26	Right	Tibia	428	82	53	43	29
UT85-8	Right	Tibia	372	68	43	31	20
UT86-15	Right	Tibia	343	63	45	30	22
UT87-18	Right	Tibia	388	78	49	28	22
UT87-20	Right	Tibia	384	77	51	35	27
UT89-1	Right	Tibia	338	66	44	29	19
UT89-10	Right	Tibia	397	80	54	37	23
UT89-13/FA-89-67	Right	Tibia	346	72	44	30	23
UT89-18	Right	Tibia	399	80	38	37	25
UT89-23	Right	Tibia	376	76	46	31	26
UT89-24	Right	Tibia	327	66	42	28	19
UT9-87	Right	Tibia	393	65	48	33	23
UT90-29	Right	Tibia	388	77	46	31	23
UT90-40	Right	Tibia	404	80	52	39	23
UT90-4;FA89-172	Right	Tibia	364	75	44	33	24
UT91-10	Right	Tibia	442	83	51	36	27
UT91-30	Right	Tibia	381	80	58	39	28
UT91-34	Right	Tibia	385	73	48	33	24
UT91-42	Right	Tibia	430	77	49	39	28
UT92-15	Right	Tibia	411	83	58	39	26
UT95-15	Right	Tibia	162	39	28	15	15
UT95-8	Right	Tibia	389	72	47	30	22
UT96-33	Right	Tibia	405	76	49	36	24
UT97-185	Right	Tibia	391	74	52	35	24
UT98-13	Right	Tibia	382	76	51	40	26
RVO2/276B	Right	Tibia	360	72	48	34.8	23.9
RVO2/089B	Right	Tibia	373	81	48	35	29.2
RVO2/310B	Right	Tibia	381	79	54	36.2	23.5
RVO2/576B	Right	Tibia	376	79	49	37.1	27
RVO2/297B	Right	Tibia	382	81	50	35.9	25.2
RVO2/173B	Right	Tibia	390	80.5	51	39.5	25.2
RVO2/180B	Right	Tibia	405	82	53	36	28.5
RVO2/437B	Right	Tibia	378	84	54	35.4	25.1
RVO2/262B	Right	Tibia	403	77	54	36.7	25.4
RVO2/49B	Right	Tibia	369	81	55	37.5	27.7
RVO2/117B	Right	Tibia	428	84	52.5	39.1	29
ZJO6/560B	Right	Tibia	395	81	50	41.6	29.7
ZJO6/437B	Right	Tibia	406	84	53	41.1	28.1
ZJO6/644B	Right	Tibia	410	83	53	40.2	29.8
ZJO6/224B	Right	Tibia	416	85	60	42.9	28.5
ZJO6/628B	Right	Tibia	387	78	49	37	28.2
GLO1/177B	Right	Tibia	385	80.5	52	37.4	24.1
GLO1/353B	Right	Tibia	388	80	50	38.6	26.5
GLO1/340B	Right	Tibia	391	82	51	34.3	26.9
ZJO6/582B	Right	Tibia	409	84	53	38.8	27
ZJO6/155B	Right	Tibia	395	80	49	39.8	29.8
ZJO6/258B	Right	Tibia	403	79	49	38.8	28.2
GLO7/026B	Right	Tibia	377	79	52	36.8	25.9
GLO9/018B	Right	Tibia	382	80	56	38.8	29.6
OLOVO 1/3/1	Right	Tibia	400	83	51	33.7	27.9
2001-154	Right	Tibia	352	70	45	31	18.8
27-7-20/61062.0	Right	Tibia	361	71	46	28.3	21.51
27-7-20/61079.0	Right	Tibia	318	70	44	28.53	17.91
93-3-20/48009.0	Right	Tibia	335	70	45	26.92	18.89
27-7-20/61022.0	Right	Tibia	357	71	43	28.57	19.29
27-7-20/61002.0	Right	Tibia	320	66	41	28.39	18.78
2002-150-I-01	Right	Tibia	382	80	56	37.3	27.5
381137	Right	Tibia	340	74	44	31.2	20.5
325270	Right	Tibia	296	63	40	29.3	21.2
