ID	Side	Element	Uln_01	Uln_04	Uln_05	Uln_06
Ulna_L1	Left	Ulna	332.5	15.5	20.8	287.5
Ulna_L2	Left	Ulna	225	10.4	13.6	197
Ulna_L3	Left	Ulna	213	12.7	16.6	188
Ulna_L4	Left	Ulna	276	13	17	239
Ulna_L5	Left	Ulna	261	12	17	228
Ulna_L6	Left	Ulna	247	15	17	216
Ulna_L7	Left	Ulna	245	12	15	216
Ulna_L8	Left	Ulna	245	12	14	227
Ulna_L9	Left	Ulna	272	14	20	241
Ulna_L10	Left	Ulna	265	14	18	240
Ulna_L11	Left	Ulna	269	13	18	240
Ulna_L12	Left	Ulna	268	15	19	236
Ulna_L13	Left	Ulna	272	14	18	245
Ulna_L14	Left	Ulna	256	13	15	226
Ulna_L15	Left	Ulna	247	14	17	217
Ulna_L16	Left	Ulna	264	14	17	233
Ulna_L17	Left	Ulna	265	12	17	238
Ulna_L18	Left	Ulna	252	10	16	227
Ulna_L19	Left	Ulna	235	11	14	211
Ulna_L20	Left	Ulna	231	11	12	207
Ulna_L21	Left	Ulna	281	14	20	249
Ulna_L22	Left	Ulna	236	10	15	206
Ulna_L23	Left	Ulna	298	16	22	265
Ulna_L24	Left	Ulna	287	13	18	255
Ulna_L25	Left	Ulna	259	10	14	232
Ulna_L26	Left	Ulna	237	11	14	210
Ulna_L27	Left	Ulna	293	15	21	260
Ulna_L28	Left	Ulna	276	16	17	245
Ulna_L29	Left	Ulna	245	11	14	212
Ulna_L30	Left	Ulna	233	9	12	207
Ulna_L31	Left	Ulna	270	13	17	238
Ulna_L32	Left	Ulna	233	10	14	211
Ulna_L33	Left	Ulna	280	16	19	248
Ulna_L34	Left	Ulna	270	14	17	242
Ulna_L35	Left	Ulna	169	8	11	152
Ulna_L36	Left	Ulna	273	13	16	244
Ulna_L37	Left	Ulna	287	15	20	253
Ulna_L38	Left	Ulna	235	11	14	203
Ulna_L39	Left	Ulna	258	10	13	232
Ulna_L40	Left	Ulna	268	15	16	240
Ulna_L41	Left	Ulna	302	14	17	273
Ulna_L42	Left	Ulna	261	13	17	226
Ulna_L43	Left	Ulna	266	13	17	238
Ulna_L44	Left	Ulna	276	14	20	245
Ulna_L45	Left	Ulna	278	15	18	247
Ulna_L46	Left	Ulna	283	17	16	241
Ulna_L47	Left	Ulna	280	16	15	247
Ulna_L48	Left	Ulna	241	11	16	214
Ulna_L49	Left	Ulna	119	7	8	106
Ulna_L50	Left	Ulna	284	13	17	255
Ulna_L51	Left	Ulna	273	10	15	244
Ulna_L52	Left	Ulna	261	13	19	236
Ulna_L53	Left	Ulna	234	11	10	212
Ulna_L54	Left	Ulna	282	15.6	20.5	239
Ulna_L55	Left	Ulna	284	12	17	252
Ulna_L56	Left	Ulna	250	14	19.4	221
Ulna_L57	Left	Ulna	260	13.9	19.1	223
Ulna_L58	Left	Ulna	271	14	22.5	231
Ulna_L59	Left	Ulna	270	13.3	20.1	232
Ulna_L60	Left	Ulna	276	14.2	18.7	239
Ulna_L61	Left	Ulna	270	11.9	18.6	233
Ulna_L62	Left	Ulna	267	17.3	19.8	228
Ulna_L63	Left	Ulna	285	14.4	20.8	246
Ulna_L64	Left	Ulna	272	13.5	19.3	236
Ulna_L65	Left	Ulna	283	12.1	18.4	247
Ulna_L66	Left	Ulna	285	13.8	19.6	247
Ulna_L67	Left	Ulna	271	13.6	17.3	236
Ulna_L68	Left	Ulna	281	14.5	18.4	247
Ulna_L69	Left	Ulna	270	13.1	16.5	231
Ulna_L70	Left	Ulna	253	15.5	19.9	218
Ulna_L71	Left	Ulna	274	14.4	21.1	232
Ulna_L72	Left	Ulna	268	12	16.2	235
Ulna_L73	Left	Ulna	254	11.76	15.01	224
Ulna_L74	Left	Ulna	232	11.38	16.02	201
Ulna_L75	Left	Ulna	230	10.3	14.52	199
Ulna_L76	Left	Ulna	243	9.71	14.89	212
Ulna_L77	Left	Ulna	226	10.45	13.97	201
Ulna_L78	Left	Ulna	260	15.4	15.4	233
Ulna_L79	Left	Ulna	279	17.2	16	243
Ulna_L80	Left	Ulna	290	11	16	259
Ulna_L81	Left	Ulna	282	19	14	252
Ulna_L82	Left	Ulna	256	14	17	228
Ulna_L83	Left	Ulna	247	13	16	247
Ulna_L84	Left	Ulna	266	12.2	15.3	239
Ulna_L85	Left	Ulna	261	14.6	15.6	235
Ulna_L86	Left	Ulna	234	14.3	15.8	201
Ulna_L87	Left	Ulna	245	14.5	18	215
Ulna_L88	Left	Ulna	249	13.2	17.5	220
Ulna_L89	Left	Ulna	219	11.2	12.5	191
Ulna_L90	Left	Ulna	234.5	12.1	15.1	206
Ulna_L91	Left	Ulna	250	13.7	16.9	221
Ulna_L92	Left	Ulna	253	25.7	17.7	221
Ulna_L93	Left	Ulna	249	13.4	16.4	219
Ulna_L94	Left	Ulna	257.5	12.7	15.3	228
Ulna_L95	Left	Ulna	239	10.9	15.5	216
Ulna_L96	Left	Ulna	286	19	14	254
Ulna_L97	Left	Ulna	277	15	17	237
Ulna_L98	Left	Ulna	274.5	15.7	14.4	242
Ulna_L99	Left	Ulna	286	16	13	253
