ID	Side	Element	Uln_01	Uln_04	Uln_05	Uln_06
576	Left	Ulna	332.5	15.5	20.8	287.5
847	Left	Ulna	225	10.4	13.6	197
1153	Left	Ulna	213	12.7	16.6	188
UT1-87	Left	Ulna	276	13	17	239
UT10-88	Left	Ulna	261	12	17	228
UT11-93	Left	Ulna	247	15	17	216
UT11-95	Left	Ulna	245	12	15	216
UT12-92	Left	Ulna	245	12	14	227
UT12-94	Left	Ulna	272	14	20	241
UT17-91	Left	Ulna	265	14	18	240
UT17-92	Left	Ulna	269	13	18	240
UT2-81	Left	Ulna	268	15	19	236
UT2-93	Left	Ulna	272	14	18	245
UT20-94	Left	Ulna	256	13	15	226
UT4-91	Left	Ulna	247	14	17	217
UT5-95	Left	Ulna	264	14	17	233
UT6-86	Left	Ulna	265	12	17	238
UT6-97	Left	Ulna	252	10	16	227
UT71-1	Left	Ulna	235	11	14	211
UT74-5	Left	Ulna	231	11	12	207
UT77-9	Left	Ulna	281	14	20	249
UT83-1	Left	Ulna	236	10	15	206
UT85-26	Left	Ulna	298	16	22	265
UT85-35	Left	Ulna	287	13	18	255
UT85-8	Left	Ulna	259	10	14	232
UT86-15	Left	Ulna	237	11	14	210
UT86-30	Left	Ulna	293	15	21	260
UT87-20	Left	Ulna	276	16	17	245
UT87-8	Left	Ulna	245	11	14	212
UT89-1	Left	Ulna	233	9	12	207
UT89-10	Left	Ulna	270	13	17	238
UT89-13/FA-89-67	Left	Ulna	233	10	14	211
UT89-18	Left	Ulna	280	16	19	248
UT89-23	Left	Ulna	270	14	17	242
UT89-9	Left	Ulna	169	8	11	152
UT9-87	Left	Ulna	273	13	16	244
UT90-28	Left	Ulna	287	15	20	253
UT90-34	Left	Ulna	235	11	14	203
UT90-4;FA89-172	Left	Ulna	258	10	13	232
UT90-8	Left	Ulna	268	15	16	240
UT91-10	Left	Ulna	302	14	17	273
UT91-30	Left	Ulna	261	13	17	226
UT91-34	Left	Ulna	266	13	17	238
UT91-36	Left	Ulna	276	14	20	245
UT92-15	Left	Ulna	278	15	18	247
UT93-42	Left	Ulna	283	17	16	241
UT94-10	Left	Ulna	280	16	15	247
UT95-10	Left	Ulna	241	11	16	214
UT95-15	Left	Ulna	119	7	8	106
UT95-25	Left	Ulna	284	13	17	255
UT95-8	Left	Ulna	273	10	15	244
UT97-185	Left	Ulna	261	13	19	236
UT99-3	Left	Ulna	234	11	10	212
UT13-88	Left	Ulna	282	15.6	20.5	239
RVO2/282B	Left	Ulna	284	12	17	252
RVO2/276B	Left	Ulna	250	14	19.4	221
RVO2/576B	Left	Ulna	260	13.9	19.1	223
RVO2/442B	Left	Ulna	271	14	22.5	231
RVO2/186B	Left	Ulna	270	13.3	20.1	232
RVO2/142B	Left	Ulna	276	14.2	18.7	239
RVO2/180B	Left	Ulna	270	11.9	18.6	233
RVO2/49B	Left	Ulna	267	17.3	19.8	228
RVO2/117B	Left	Ulna	285	14.4	20.8	246
ZJO6/560B	Left	Ulna	272	13.5	19.3	236
ZJO6/437B	Left	Ulna	283	12.1	18.4	247
ZJO6/644B	Left	Ulna	285	13.8	19.6	247
ZJO6/628B	Left	Ulna	271	13.6	17.3	236
GLO1/353B	Left	Ulna	281	14.5	18.4	247
ZJO6/582B	Left	Ulna	270	13.1	16.5	231
CR12/179B	Left	Ulna	253	15.5	19.9	218
OLOVO 1/2/1	Left	Ulna	274	14.4	21.1	232
2002-074	Left	Ulna	268	12	16.2	235
27-7-20/61062.0	Left	Ulna	254	11.76	15.01	224
27-7-20/61079.0	Left	Ulna	232	11.38	16.02	201
93-3-20/48009.0	Left	Ulna	230	10.3	14.52	199
27-7-20/61022.0	Left	Ulna	243	9.71	14.89	212
27-7-20/61002.0	Left	Ulna	226	10.45	13.97	201
2001-008-I-01	Left	Ulna	260	15.4	15.4	233
2011-078-I-01	Left	Ulna	279	17.2	16	243
2011-026-I-01	Left	Ulna	290	11	16	259
2011-027-I-01	Left	Ulna	282	19	14	252
2011-028-I-01	Left	Ulna	256	14	17	228
2009-130-I-02	Left	Ulna	247	13	16	247
DS 001	Left	Ulna	266	12.2	15.3	239
DS 034	Left	Ulna	261	14.6	15.6	235
DS 035	Left	Ulna	234	14.3	15.8	201
DS 009	Left	Ulna	245	14.5	18	215
DS 033	Left	Ulna	249	13.2	17.5	220
DS 010	Left	Ulna	219	11.2	12.5	191
DS 007	Left	Ulna	234.5	12.1	15.1	206
DS 002	Left	Ulna	250	13.7	16.9	221
DS 003	Left	Ulna	253	25.7	17.7	221
DS 004	Left	Ulna	249	13.4	16.4	219
DS 005	Left	Ulna	257.5	12.7	15.3	228
DS 008	Left	Ulna	239	10.9	15.5	216
2013-115-I-01	Left	Ulna	286	19	14	254
2013-120-I-01	Left	Ulna	277	15	17	237
2013-151-I-01	Left	Ulna	274.5	15.7	14.4	242
2013-175-I-01	Left	Ulna	286	16	13	253
