ID	Side	Element	Uln_01R	Uln_04R	Uln_05R	Uln_06R
Ulna_R1	Right	Ulna	330	15.3	19.8	288
Ulna_R2	Right	Ulna	230	10.4	13.5	201
Ulna_R3	Right	Ulna	215.5	11.6	16.7	192
Ulna_R4	Right	Ulna	277	13	16	240
Ulna_R5	Right	Ulna	265	12	16	225
Ulna_R6	Right	Ulna	250	16	17	217
Ulna_R7	Right	Ulna	249	12	17	218
Ulna_R8	Right	Ulna	247	12	16	225
Ulna_R9	Right	Ulna	274	21	15	239
Ulna_R10	Right	Ulna	264	18	16	234
Ulna_R11	Right	Ulna	273	18	13	242
Ulna_R12	Right	Ulna	269	15	19	236
Ulna_R13	Right	Ulna	277	15	19	238
Ulna_R14	Right	Ulna	253	14	14	225
Ulna_R15	Right	Ulna	253	15	16	220
Ulna_R16	Right	Ulna	267	16	13	234
Ulna_R17	Right	Ulna	267	13	18	238
Ulna_R18	Right	Ulna	252	11	17	227
Ulna_R19	Right	Ulna	235	10	14	208
Ulna_R20	Right	Ulna	235	10	11	210
Ulna_R21	Right	Ulna	283	14	20	250
Ulna_R22	Right	Ulna	239	12	14	209
Ulna_R23	Right	Ulna	300	14	21	267
Ulna_R24	Right	Ulna	292	12	18	255
Ulna_R25	Right	Ulna	259	10	15	231
Ulna_R26	Right	Ulna	237	11	15	209
Ulna_R27	Right	Ulna	296	16	21	258
Ulna_R28	Right	Ulna	277	15	17	246
Ulna_R29	Right	Ulna	245	12	15	216
Ulna_R30	Right	Ulna	232	9	12	208
Ulna_R31	Right	Ulna	272	13	17	241
Ulna_R32	Right	Ulna	240	11	14	215
Ulna_R33	Right	Ulna	284	15	20	256
Ulna_R34	Right	Ulna	272	14	17	241
Ulna_R35	Right	Ulna	167	8	10	149
Ulna_R36	Right	Ulna	277	14	15	248
Ulna_R37	Right	Ulna	283	14	18	251
Ulna_R38	Right	Ulna	230	11	14	202
Ulna_R39	Right	Ulna	261	10	14	234
Ulna_R40	Right	Ulna	275	17	17	244
Ulna_R41	Right	Ulna	302	15	19	274
Ulna_R42	Right	Ulna	269	14	16	231
Ulna_R43	Right	Ulna	266	12	16	238
Ulna_R44	Right	Ulna	279	14	19	248
Ulna_R45	Right	Ulna	279	17	16	247
Ulna_R46	Right	Ulna	284	15	14	242
Ulna_R47	Right	Ulna	284	17	15	250
Ulna_R48	Right	Ulna	242	11	16	215
Ulna_R49	Right	Ulna	119	7	8	107
Ulna_R50	Right	Ulna	285	13	18	255
Ulna_R51	Right	Ulna	273	15	13	244
Ulna_R52	Right	Ulna	261	19	19	236
Ulna_R53	Right	Ulna	236	9	12	210
Ulna_R54	Right	Ulna	285	15.6	21.3	241
Ulna_R55	Right	Ulna	291	12.6	16.6	260
Ulna_R56	Right	Ulna	254	14.5	18	224
Ulna_R57	Right	Ulna	262	13	17	228
Ulna_R58	Right	Ulna	270.5	13.8	21.3	230
Ulna_R59	Right	Ulna	274	13	19.3	236
Ulna_R60	Right	Ulna	276	15.2	19.5	240
Ulna_R61	Right	Ulna	272	12.6	19.3	235
Ulna_R62	Right	Ulna	263	14.9	18.3	225
Ulna_R63	Right	Ulna	286	13.6	20.2	246
Ulna_R64	Right	Ulna	273	13.8	19.8	236
Ulna_R65	Right	Ulna	283	12.8	18.8	248
Ulna_R66	Right	Ulna	288	14.1	20.3	250
Ulna_R67	Right	Ulna	269	12.9	17.2	235
Ulna_R68	Right	Ulna	281	13.8	19.2	247
Ulna_R69	Right	Ulna	270	14	16.9	234
Ulna_R70	Right	Ulna	255	13.9	19.7	221
Ulna_R71	Right	Ulna	280	15.5	20.6	236
Ulna_R72	Right	Ulna	265	12.3	17.5	235
Ulna_R73	Right	Ulna	258	11.36	14.37	225
Ulna_R74	Right	Ulna	234	11.57	15.58	203
Ulna_R75	Right	Ulna	235	10.79	14.51	204
Ulna_R76	Right	Ulna	248	10.77	15.07	218
Ulna_R77	Right	Ulna	235	10.85	13.92	209
Ulna_R78	Right	Ulna	264	16.4	12.9	235
Ulna_R79	Right	Ulna	286	16.9	15.9	250
Ulna_R80	Right	Ulna	298	11	15	266
Ulna_R81	Right	Ulna	286	19	16	254
Ulna_R82	Right	Ulna	255	16	16	226
Ulna_R83	Right	Ulna	253	14	17	253
Ulna_R84	Right	Ulna	272	12.9	15.7	241
Ulna_R85	Right	Ulna	262	15.4	16.8	230
Ulna_R86	Right	Ulna	233	14.2	15.4	200
Ulna_R87	Right	Ulna	251	15.5	19.7	220
Ulna_R88	Right	Ulna	251	15.1	19.1	220
Ulna_R89	Right	Ulna	220	12.6	13.5	191
Ulna_R90	Right	Ulna	240	11.5	15	210
Ulna_R91	Right	Ulna	252	15.1	18.2	224
Ulna_R92	Right	Ulna	255	16.1	16.9	224
Ulna_R93	Right	Ulna	249	13.7	14.9	220
Ulna_R94	Right	Ulna	256.5	13.5	16.6	226
Ulna_R95	Right	Ulna	244	12.1	15.8	221
Ulna_R96	Right	Ulna	286	19	15	254
Ulna_R97	Right	Ulna	279	15	16	241
Ulna_R98	Right	Ulna	272.5	15.1	14.7	241
Ulna_R99	Right	Ulna	284	17	13	250
