ID	Side	Element	Uln_01R	Uln_04R	Uln_05R	Uln_06R
576	Right	Ulna	330	15.3	19.8	288
847	Right	Ulna	230	10.4	13.5	201
1153	Right	Ulna	215.5	11.6	16.7	192
UT1-87	Right	Ulna	277	13	16	240
UT10-88	Right	Ulna	265	12	16	225
UT11-93	Right	Ulna	250	16	17	217
UT11-95	Right	Ulna	249	12	17	218
UT12-92	Right	Ulna	247	12	16	225
UT12-94	Right	Ulna	274	21	15	239
UT17-91	Right	Ulna	264	18	16	234
UT17-92	Right	Ulna	273	18	13	242
UT2-81	Right	Ulna	269	15	19	236
UT2-93	Right	Ulna	277	15	19	238
UT20-94	Right	Ulna	253	14	14	225
UT4-91	Right	Ulna	253	15	16	220
UT5-95	Right	Ulna	267	16	13	234
UT6-86	Right	Ulna	267	13	18	238
UT6-97	Right	Ulna	252	11	17	227
UT71-1	Right	Ulna	235	10	14	208
UT74-5	Right	Ulna	235	10	11	210
UT77-9	Right	Ulna	283	14	20	250
UT83-1	Right	Ulna	239	12	14	209
UT85-26	Right	Ulna	300	14	21	267
UT85-35	Right	Ulna	292	12	18	255
UT85-8	Right	Ulna	259	10	15	231
UT86-15	Right	Ulna	237	11	15	209
UT86-30	Right	Ulna	296	16	21	258
UT87-20	Right	Ulna	277	15	17	246
UT87-8	Right	Ulna	245	12	15	216
UT89-1	Right	Ulna	232	9	12	208
UT89-10	Right	Ulna	272	13	17	241
UT89-13/FA-89-67	Right	Ulna	240	11	14	215
UT89-18	Right	Ulna	284	15	20	256
UT89-23	Right	Ulna	272	14	17	241
UT89-9	Right	Ulna	167	8	10	149
UT9-87	Right	Ulna	277	14	15	248
UT90-28	Right	Ulna	283	14	18	251
UT90-34	Right	Ulna	230	11	14	202
UT90-4;FA89-172	Right	Ulna	261	10	14	234
UT90-8	Right	Ulna	275	17	17	244
UT91-10	Right	Ulna	302	15	19	274
UT91-30	Right	Ulna	269	14	16	231
UT91-34	Right	Ulna	266	12	16	238
UT91-36	Right	Ulna	279	14	19	248
UT92-15	Right	Ulna	279	17	16	247
UT93-42	Right	Ulna	284	15	14	242
UT94-10	Right	Ulna	284	17	15	250
UT95-10	Right	Ulna	242	11	16	215
UT95-15	Right	Ulna	119	7	8	107
UT95-25	Right	Ulna	285	13	18	255
UT95-8	Right	Ulna	273	15	13	244
UT97-185	Right	Ulna	261	19	19	236
UT99-3	Right	Ulna	236	9	12	210
UT13-88	Right	Ulna	285	15.6	21.3	241
RVO2/282B	Right	Ulna	291	12.6	16.6	260
RVO2/276B	Right	Ulna	254	14.5	18	224
RVO2/576B	Right	Ulna	262	13	17	228
RVO2/442B	Right	Ulna	270.5	13.8	21.3	230
RVO2/186B	Right	Ulna	274	13	19.3	236
RVO2/142B	Right	Ulna	276	15.2	19.5	240
RVO2/180B	Right	Ulna	272	12.6	19.3	235
RVO2/49B	Right	Ulna	263	14.9	18.3	225
RVO2/117B	Right	Ulna	286	13.6	20.2	246
ZJO6/560B	Right	Ulna	273	13.8	19.8	236
ZJO6/437B	Right	Ulna	283	12.8	18.8	248
ZJO6/644B	Right	Ulna	288	14.1	20.3	250
ZJO6/628B	Right	Ulna	269	12.9	17.2	235
GLO1/353B	Right	Ulna	281	13.8	19.2	247
ZJO6/582B	Right	Ulna	270	14	16.9	234
CR12/179B	Right	Ulna	255	13.9	19.7	221
OLOVO 1/2/1	Right	Ulna	280	15.5	20.6	236
2002-074	Right	Ulna	265	12.3	17.5	235
27-7-20/61062.0	Right	Ulna	258	11.36	14.37	225
27-7-20/61079.0	Right	Ulna	234	11.57	15.58	203
93-3-20/48009.0	Right	Ulna	235	10.79	14.51	204
27-7-20/61022.0	Right	Ulna	248	10.77	15.07	218
27-7-20/61002.0	Right	Ulna	235	10.85	13.92	209
2001-008-I-01	Right	Ulna	264	16.4	12.9	235
2011-078-I-01	Right	Ulna	286	16.9	15.9	250
2011-026-I-01	Right	Ulna	298	11	15	266
2011-027-I-01	Right	Ulna	286	19	16	254
2011-028-I-01	Right	Ulna	255	16	16	226
2009-130-I-02	Right	Ulna	253	14	17	253
DS 001	Right	Ulna	272	12.9	15.7	241
DS 034	Right	Ulna	262	15.4	16.8	230
DS 035	Right	Ulna	233	14.2	15.4	200
DS 009	Right	Ulna	251	15.5	19.7	220
DS 033	Right	Ulna	251	15.1	19.1	220
DS 010	Right	Ulna	220	12.6	13.5	191
DS 007	Right	Ulna	240	11.5	15	210
DS 002	Right	Ulna	252	15.1	18.2	224
DS 003	Right	Ulna	255	16.1	16.9	224
DS 004	Right	Ulna	249	13.7	14.9	220
DS 005	Right	Ulna	256.5	13.5	16.6	226
DS 008	Right	Ulna	244	12.1	15.8	221
2013-115-I-01	Right	Ulna	286	19	15	254
2013-120-I-01	Right	Ulna	279	15	16	241
2013-151-I-01	Right	Ulna	272.5	15.1	14.7	241
2013-175-I-01	Right	Ulna	284	17	13	250
